Sonntag, 9. November 2025, 22:51;;;;;;;;
Ausgefüllte Feedbacks: 7;;;;;;;;
Fragen: 46;;;;;;;;
;;;;;;;;
Bezeichner;Frage;Antworten;;;;;;
;Diese Berufliche Handlungssituation gefällt mir generell gut.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;1;5;0;1;0;0;2,142857143
;Die Lernatmosphäre ist angenehm.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;2;3;2;0;0;0;2
;Das Lernen macht mir Spaß.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;1;4;2;0;0;0;2,142857143
;Ich finde die Bearbeitung für meinen Beruf nützlich.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;4;2;0;1;0;0;1,714285714
;Zeit in die Bearbeitung zu investieren ist sinnvoll.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;4;2;0;1;0;0;1,714285714
;Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;5;1;0;1;0;0;1,571428571
;Ich ziehe persönlichen Nutzen aus der Bearbeitung.;trifft voll und ganz zu (1);trifft überwiegend zu (2);trifft gerade noch zu (3);trifft eher nicht zu (4);trifft überwiegend nicht zu (5);trifft überhaupt nicht zu (6);Mittelwert
;;4;2;1;0;0;0;1,571428571
