x_term,y_term,correlation,p_value,significance
#0:zeitschriftenartikel:digital:learning,promotion:argumentation,-0.009543076411431803,0.5599716818075439,Nicht signifikant
#0:zeitschriftenartikel:digital:learning,promotion:kerngedanke,0.009591387011635893,0.5579867514449436,Nicht signifikant
#0:zeitschriftenartikel:digital:learning,promotion:weiterführung,0.10309236894405646,2.72821201066536e-10,Signifikant
#0:zeitschriftenartikel:digital:learning,promotion:schlussfolgerung,-0.004276125691785643,0.7939555305042779,Nicht signifikant
#0:buch:digital:learning,promotion:argumentation,-0.027987421063166595,0.08731293670856476,Nicht signifikant
#0:buch:digital:learning,promotion:kerngedanke,-0.028092592341646162,0.08613038927164716,Nicht signifikant
#0:buch:digital:learning,promotion:weiterführung,-0.015916557657568282,0.33094597946557747,Nicht signifikant
#0:buch:digital:learning,promotion:schlussfolgerung,-0.007627640930456024,0.6412967787485496,Nicht signifikant
#0:buchteil:digital:learning,promotion:argumentation,-0.06254254224230385,0.00013146085269523969,Signifikant
#0:buchteil:digital:learning,promotion:kerngedanke,-0.06280843220526187,0.00012303750134696865,Signifikant
#0:buchteil:digital:learning,promotion:weiterführung,-0.03823229214130543,0.019491290601177762,Signifikant
#0:buchteil:digital:learning,promotion:schlussfolgerung,-0.018321938868704302,0.2630727355850148,Nicht signifikant
#0:konferenz-paper:digital:learning,promotion:argumentation,-0.017244042043142324,0.2922004044028796,Nicht signifikant
#0:konferenz-paper:digital:learning,promotion:kerngedanke,0.018037934146611673,0.27054544770088745,Nicht signifikant
#0:konferenz-paper:digital:learning,promotion:weiterführung,0.07599469193242323,3.3466116183442425e-06,Signifikant
#0:konferenz-paper:digital:learning,promotion:schlussfolgerung,-0.004699659914999507,0.7740766660615418,Nicht signifikant
#1:zeitschriftenartikel:learning:management:system,promotion:argumentation,0.17630637666017615,1.9186648826274154e-27,Signifikant
#1:zeitschriftenartikel:learning:management:system,promotion:kerngedanke,0.18770785467873385,6.003551062561969e-31,Signifikant
#1:zeitschriftenartikel:learning:management:system,promotion:weiterführung,0.1170109394547047,7.422417621240451e-13,Signifikant
#1:zeitschriftenartikel:learning:management:system,promotion:schlussfolgerung,0.019616279021786778,0.23082560775908004,Nicht signifikant
#1:buch:learning:management:system,promotion:argumentation,-0.008615085489395106,0.5987489758239658,Nicht signifikant
#1:buch:learning:management:system,promotion:kerngedanke,0.026670883780518267,0.10325180400363418,Nicht signifikant
#1:buch:learning:management:system,promotion:weiterführung,-0.00489943337785059,0.764750443538772,Nicht signifikant
#1:buch:learning:management:system,promotion:schlussfolgerung,-0.0023479397601506953,0.8859685665758524,Nicht signifikant
#1:buchteil:learning:management:system,promotion:argumentation,-0.02280457041259879,0.16360933464236077,Nicht signifikant
#1:buchteil:learning:management:system,promotion:kerngedanke,-0.007119274742126259,0.6636819891771688,Nicht signifikant
#1:buchteil:learning:management:system,promotion:weiterführung,-0.02202337253147358,0.1785274934756679,Nicht signifikant
#1:buchteil:learning:management:system,promotion:schlussfolgerung,-0.010554190256576716,0.5191573436527762,Nicht signifikant
