"ID";"Gestartet am";"Zuletzt aktualisiert am";"Status";"Collector";"Sprache";"IP-Adresse";"Gerät";"Ich erkläre mich freiwillig dazu bereit, an der oben genannten Umfrage teilzunehmen. Die Ziele der Umfrage, Datenschutzbestimmungen und meine Rechte wurden ausführlich erläutert und sind mir verständlich.";"In welchem Kurs sind Sie eingeschrieben?";"Mit welchem Geschlecht identifizieren Sie sich?";"Ich habe an dem Eye-Tracking-Versuch teilgenommen.";"Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse?";"Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis?";"Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen?";"Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen?";"Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden?";"Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten?";"Wie zeitnah und hilfreich ist das Feedback, das Sie im LMS erhalten?""";"Inwiefern unterstützen die Bewertungssysteme im LMS Ihr Verständnis über Ihren Lernfortschritt?";"Welche Rolle spielen Selbstbewertungstools im LMS für Ihre Selbsteinschätzung?";"Wie passt sich das LMS an Ihre individuellen Lernbedürfnisse an?""";"Gibt es Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren?""";"(fehlende) Möglichkeiten im LMS, Lerninhalte nach Ihren Interessen und Stärken zu personalisieren.";"Wie bewerten Sie die Flexibilität des LMS in Bezug auf individuelle Lernbedürfnisse?""
";"Wie einfach ist es, auf verschiedene Ressourcen im LMS zuzugreifen?";"Wie nahtlos integriert das LMS externe Lernmaterialien oder -werkzeuge?";"Wie bewerten Sie die Barrierefreiheit und Zugänglichkeit des LMS für alle Lernenden.";"Welche Anmerkungen oder Feedback haben Sie?"
"98308332";"17.07.2024 07:53:50";"17.07.2024 07:54:23";"Angefangen, aber noch nicht abgeschlossen";"LMS DRK-Bildungszentrum Düsseldorf";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"98163079";"15.07.2024 09:16:09";"15.07.2024 09:19:05";"Angefangen, aber noch nicht abgeschlossen";"21-NFS-09";"-";"Anonym";"Anonym";"Ja";"21-NFS-09";"männlich";"Ja";"4";"5";"4";"5";"4";"4";"4";"2";"3";"1";"Ja";"";"2";"5";"3";"3";""
"98162996";"15.07.2024 09:14:27";"15.07.2024 09:16:07";"Angefangen, aber noch nicht abgeschlossen";"21-NFS-09";"-";"Anonym";"Anonym";"Ja";"21-NFS-09";"ohne Angabe";"Ja";"4";"3";"4";"3";"3";"4";"3";"4";"4";"3";"Ja";"";"4";"3";"2";"3";""
"98012451";"12.07.2024 16:44:01";"12.07.2024 16:48:24";"Abgeschlossen";"21-NFS-09";"-";"Anonym";"Anonym";"Ja";"21-NFS-09";"männlich";"Ja";"3";"2";"2";"3";"3";"4";"2";"4";"4";"3";"Ja";"";"4";"3";"2";"4";""
"98001624";"12.07.2024 14:14:04";"12.07.2024 14:16:34";"Angefangen, aber noch nicht abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"weiblich";"Nein";"3";"2";"3";"2";"2";"1";"2";"1";"2";"2";"Nein";"";"2";"2";"4";"3";""
"98001614";"12.07.2024 14:13:54";"12.07.2024 14:16:00";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"weiblich";"Ja";"3";"1";"3";"5";"5";"3";"2";"2";"2";"1";"Ja";"";"2";"3";"3";"3";""
"98001537";"12.07.2024 14:12:39";"12.07.2024 14:17:34";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"3";"4";"3";"3";"4";"2";"2";"4";"4";"3";"Nein";"";"2";"3";"2";"3";""
"98001494";"12.07.2024 14:12:09";"12.07.2024 14:16:38";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"4";"4";"3";"2";"3";"4";"4";"3";"2";"4";"Ja";"";"3";"5";"3";"5";""
"98001317";"12.07.2024 14:09:10";"12.07.2024 14:14:43";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"weiblich";"Ja";"3";"4";"3";"3";"3";"3";"2";"3";"4";"3";"Nein";"Jain, manche Aufgaben sind ziemlich eng verpackt, sodass man nicht weit ausholen kann und manche sind dafür so offen bzw. zu viele Themen unter einer Aufgabe";"3";"4";"3";"4";""
"98001224";"12.07.2024 14:07:53";"12.07.2024 14:12:04";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"4";"4";"4";"3";"4";"3";"3";"4";"4";"4";"Ja";"";"4";"2";"2";"3";""
"98001001";"12.07.2024 14:04:29";"12.07.2024 14:10:18";"Abgeschlossen";"23-NFS-01";"-";"Anonym";"Anonym";"Ja";"23-NFS-09";"männlich";"Nein";"4";"4";"3";"2";"3";"4";"4";"2";"4";"2";"Ja";"";"3";"2";"3";"4";""
