"ID";"Gestartet am";"Zuletzt aktualisiert am";"Status";"Collector";"Sprache";"IP-Adresse";"Gerät";"Ich bin mit der Teilnahme am 5DCR-Test einverstanden.";"Wie sehr sind Sie daran interessiert, neue Dinge zu erkunden?";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"Ich finde es faszinierend, Neues zu lernen.";"Wie stark beeinträchtigt es Sie, keine Lösungen für Probleme zu finden?";"Das Nachdenken über Lösungen für schwierige Probleme hält mich manchmal nachts wach.";"Ich beschäftige mich manchmal stundenlang mit nur einer einzigen Fragestellung, weil ich einfach nicht zur Ruhe komme, bevor ich die Antwort weiß.";"Es frustriert mich, wenn ich keine Lösung für ein Problem finde, sodass ich mich dann noch mehr anstrenge, um eine Lösung zu finden.";"Ich beschäftige mich unaufhörlich mit Problemen, die aus meiner Sicht gelöst werden sollten.";"Wie gut können Sie mit stressigen und ungewissen Situationen umgehen?";"Schon der geringste Zweifel kann mich davon abhalten, mich auf neue Erfahrungen einzulassen.";"Ich kann nicht mit dem Stress umgehen, der entsteht, wenn ich mich auf eine ungewisse Situation einlasse.";"Es fällt mir schwer, neue Orte zu erkunden, wenn mir das Vertrauen in meine eigenen Fähigkeiten fehlt.";"Es fällt mir schwer, mich zu konzentrieren, wenn die Möglichkeit besteht, dass ich dabei von etwas überrascht werde.";"Wie neugierig sind Sie darauf, allgemeine Informationen über andere Menschen zu erfahren?";"Ich finde gerne heraus, warum Menschen sich so verhalten, wie sie es tun.";"Ich stelle viele Fragen, um herauszufinden, was andere interessiert.";"Wenn ich mit jemandem spreche, der von etwas begeistert ist, bin ich neugierig und will herausfinden, warum das so ist.";"Wenn ich mit jemandem spreche, versuche ich interessante Details über meine Gesprächspartner zu erfahren.";"Wie sehr interessiert es Sie, spezifische und persönliche Informationen über andere Menschen zu erfahren?";"Wenn andere eine Unterhaltung führen, versuche ich herauszufinden, worum es darin geht.";"Wenn ich von anderen Leuten umgeben bin, lausche ich gerne ihren Gesprächen.";"Wenn andere sich streiten, möchte ich gerne wissen, was los ist.";"Ich versuche, an Informationen über das Privatleben meiner Mitmenschen zu kommen.";"Wie sehr suchen Sie nach aufregenden und riskanten Erlebnissen?";"Ich finde es aufregend, Risiken einzugehen.";"In meiner Freizeit mache ich gerne Dinge, die ein bisschen Nervenkitzel hervorrufen.";"Spontane Abenteuer reizen mich viel mehr als geplante.";"Am liebsten sind mir Freunde, die unberechenbar sind und mich überraschen."
"100934645";"28.08.2024 14:49:34";"28.08.2024 14:53:52";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Desktop";"Ich stimme zu.";"";"trifft zu";"trifft zu";"trifft eher zu";"trifft eher zu";"";"trifft zu";"trifft eher zu";"trifft zu";"trifft zu";"";"trifft nicht zu";"trifft nicht zu";"trifft nicht zu";"trifft gar nicht zu";"";"trifft eher zu";"weder noch";"trifft zu";"trifft eher zu";"";"trifft zu";"trifft zu";"trifft zu";"trifft eher zu";"";"trifft nicht zu";"triff eher nicht zu";"triff eher nicht zu";"trifft gar nicht zu"
"100764554";"26.08.2024 12:55:52";"26.08.2024 12:56:15";"Angefangen, aber noch nicht abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"100763771";"26.08.2024 12:48:01";"26.08.2024 13:02:38";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Desktop";"Ich stimme zu.";"";"trifft eher zu";"triff eher nicht zu";"trifft zu";"trifft zu";"";"trifft gar nicht zu";"trifft zu";"trifft zu";"weder noch";"";"trifft eher zu";"trifft nicht zu";"triff eher nicht zu";"triff eher nicht zu";"";"trifft eher zu";"trifft eher zu";"trifft eher zu";"trifft zu";"";"trifft voll und ganz zu";"trifft voll und ganz zu";"trifft zu";"trifft zu";"";"trifft nicht zu";"trifft gar nicht zu";"trifft zu";"triff eher nicht zu"
"100762842";"26.08.2024 12:37:26";"26.08.2024 12:40:33";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"trifft eher zu";"trifft zu";"trifft eher zu";"trifft eher zu";"";"trifft eher zu";"trifft gar nicht zu";"triff eher nicht zu";"weder noch";"";"triff eher nicht zu";"trifft eher zu";"trifft nicht zu";"trifft zu";"";"trifft voll und ganz zu";"trifft zu";"trifft voll und ganz zu";"trifft eher zu";"";"trifft voll und ganz zu";"trifft voll und ganz zu";"trifft eher zu";"trifft eher zu";"";"trifft eher zu";"trifft voll und ganz zu";"trifft eher zu";"trifft eher zu"
"100762797";"26.08.2024 12:37:02";"26.08.2024 12:45:55";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"trifft eher zu";"trifft eher zu";"trifft zu";"trifft voll und ganz zu";"";"trifft eher zu";"trifft zu";"trifft eher zu";"trifft voll und ganz zu";"";"trifft zu";"trifft nicht zu";"trifft eher zu";"trifft nicht zu";"";"weder noch";"weder noch";"trifft eher zu";"weder noch";"";"triff eher nicht zu";"triff eher nicht zu";"triff eher nicht zu";"trifft nicht zu";"";"triff eher nicht zu";"triff eher nicht zu";"trifft nicht zu";"trifft nicht zu"
"100762624";"26.08.2024 12:34:46";"26.08.2024 12:39:59";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Desktop";"Ich stimme zu.";"";"trifft zu";"trifft zu";"trifft voll und ganz zu";"trifft voll und ganz zu";"";"trifft zu";"trifft eher zu";"trifft eher zu";"trifft voll und ganz zu";"";"trifft gar nicht zu";"trifft gar nicht zu";"weder noch";"trifft eher zu";"";"trifft voll und ganz zu";"trifft zu";"trifft eher zu";"trifft zu";"";"trifft eher zu";"trifft eher zu";"trifft zu";"trifft eher zu";"";"trifft eher zu";"trifft voll und ganz zu";"trifft zu";"trifft eher zu"
"100762495";"26.08.2024 12:32:46";"26.08.2024 12:37:43";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"trifft zu";"trifft eher zu";"trifft zu";"trifft zu";"";"weder noch";"weder noch";"weder noch";"trifft eher zu";"";"triff eher nicht zu";"triff eher nicht zu";"triff eher nicht zu";"weder noch";"";"triff eher nicht zu";"triff eher nicht zu";"triff eher nicht zu";"weder noch";"";"trifft eher zu";"trifft eher zu";"trifft eher zu";"triff eher nicht zu";"";"trifft eher zu";"weder noch";"triff eher nicht zu";"triff eher nicht zu"
"100762486";"26.08.2024 12:32:39";"26.08.2024 12:35:57";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"trifft voll und ganz zu";"triff eher nicht zu";"trifft voll und ganz zu";"trifft voll und ganz zu";"";"trifft eher zu";"triff eher nicht zu";"triff eher nicht zu";"triff eher nicht zu";"";"trifft nicht zu";"trifft gar nicht zu";"trifft gar nicht zu";"trifft gar nicht zu";"";"trifft zu";"trifft eher zu";"trifft eher zu";"trifft voll und ganz zu";"";"trifft voll und ganz zu";"trifft zu";"trifft eher zu";"trifft eher zu";"";"trifft zu";"trifft zu";"trifft voll und ganz zu";"trifft eher zu"
"100761866";"26.08.2024 12:24:31";"26.08.2024 12:29:23";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Desktop";"Ich stimme zu.";"";"trifft voll und ganz zu";"trifft zu";"trifft voll und ganz zu";"trifft voll und ganz zu";"";"triff eher nicht zu";"weder noch";"trifft nicht zu";"weder noch";"";"trifft nicht zu";"trifft nicht zu";"trifft gar nicht zu";"trifft nicht zu";"";"trifft voll und ganz zu";"trifft zu";"trifft voll und ganz zu";"trifft zu";"";"trifft eher zu";"trifft zu";"trifft eher zu";"triff eher nicht zu";"";"trifft nicht zu";"trifft nicht zu";"weder noch";"weder noch"
"100761764";"26.08.2024 12:23:11";"26.08.2024 12:26:25";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"trifft voll und ganz zu";"trifft zu";"trifft eher zu";"trifft voll und ganz zu";"";"trifft eher zu";"trifft eher zu";"trifft voll und ganz zu";"weder noch";"";"trifft nicht zu";"trifft nicht zu";"trifft nicht zu";"trifft nicht zu";"";"trifft voll und ganz zu";"trifft voll und ganz zu";"trifft zu";"trifft eher zu";"";"trifft eher zu";"trifft eher zu";"triff eher nicht zu";"trifft nicht zu";"";"weder noch";"weder noch";"trifft eher zu";"trifft eher zu"
"100752193";"26.08.2024 10:23:33";"26.08.2024 12:35:05";"Abgeschlossen";"PRE-Test: 5DCR-Test";"-";"-";"Mobile";"Ich stimme zu.";"";"trifft zu";"trifft eher zu";"trifft zu";"trifft voll und ganz zu";"";"triff eher nicht zu";"trifft nicht zu";"weder noch";"weder noch";"";"trifft gar nicht zu";"trifft gar nicht zu";"trifft gar nicht zu";"trifft nicht zu";"";"trifft eher zu";"triff eher nicht zu";"trifft eher zu";"trifft eher zu";"";"trifft zu";"triff eher nicht zu";"triff eher nicht zu";"trifft nicht zu";"";"weder noch";"triff eher nicht zu";"triff eher nicht zu";"triff eher nicht zu"
