"Ich erkläre mich freiwillig dazu bereit, an der oben genannten Umfrage teilzunehmen. Die Ziele der Umfrage, Datenschutzbestimmungen und meine Rechte wurden ausführlich erläutert und sind mir verständlich. (n = 38)";"Answer";"Count";"%";"Value"
"";"Ja";"37";"97.37";"1"
"";"Nein";"1";"2.63";"2"
"";"";"";"";""
"";"Average";"";"";"1.03"
"";"Standard Deviation";"";"";"0.16"
"";"";"";"";""
"In welchem Kurs sind Sie eingeschrieben? (n = 36)";"Answer";"Count";"%";"Value"
"";"21-NFS-09";"5";"13.89";"1"
"";"22-NFS-09";"11";"30.56";"2"
"";"23-NFS-09";"20";"55.56";"3"
"";"";"0";"0";"4"
"";"";"";"";""
"";"Average";"";"";"2.42"
"";"Standard Deviation";"";"";"0.72"
"";"";"";"";""
"Mit welchem Geschlecht identifizieren Sie sich? (n = 37)";"Answer";"Count";"%";"Value"
"";"divers";"0";"0";"1"
"";"männlich";"24";"64.86";"2"
"";"ohne Angabe";"1";"2.7";"3"
"";"weiblich";"12";"32.43";"4"
"";"";"";"";""
"";"Average";"";"";"2.68"
"";"Standard Deviation";"";"";"0.93"
"";"";"";"";""
"Ich habe an dem Eye-Tracking-Versuch teilgenommen. (n = 36)";"Answer";"Count";"%";"Value"
"";"Ja";"21";"58.33";"1"
"";"Nein";"15";"41.67";"2"
"";"";"";"";""
"";"Average";"";"";"1.42"
"";"Standard Deviation";"";"";"0.49"
"";"";"";"";""
"Wie werden komplexe Themen im LMS aufbereitet und wie beeinflusst das Ihre Lernprozesse? (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr schlecht";"1";"0";"0"
"";"";"2";"0";"0"
"";"";"3";"17";"54.84"
"";"";"4";"13";"41.94"
"";"sehr gut";"5";"1";"3.23"
"";"";"";"";""
"";"Average";"3.48";"";""
"";"Standard Deviation";"0.56";"";""
"";"";"";"";""
"Welche Rolle spielen multimediale Inhalte im LMS für Ihr Verständnis? (n = 31)";"Description";"Rating";"Count";"%"
"";"keine Rolle";"1";"1";"3.23"
"";"";"2";"3";"9.68"
"";"";"3";"4";"12.9"
"";"";"4";"15";"48.39"
"";"sehr wichtige Rolle";"5";"8";"25.81"
"";"";"";"";""
"";"Average";"3.84";"";""
"";"Standard Deviation";"1.02";"";""
"";"";"";"";""
"Wie bewerten Sie die Klarheit und Struktur der im LMS präsentierten Informationen? (n = 31)";"Description";"Rating";"Count";"%"
"";"sehr unklar/unstruktuiert";"1";"0";"0"
"";"";"2";"2";"6.45"
"";"";"3";"17";"54.84"
"";"";"4";"9";"29.03"
"";"sehr klar/struktuiert";"5";"3";"9.68"
"";"";"";"";""
"";"Average";"3.42";"";""
"";"Standard Deviation";"0.75";"";""
"";"";"";"";""
"Auf welche Weise fördert das LMS aktive Diskussionen und Austausch mit anderen? (n = 31)";"Description";"Rating";"Count";"%"
"";"fördert gar nicht";"1";"0";"0"
"";"";"2";"8";"25.81"
"";"";"3";"9";"29.03"
"";"";"4";"10";"32.26"
"";"fördert sehr stark";"5";"4";"12.9"
"";"";"";"";""
"";"Average";"3.32";"";""
"";"Standard Deviation";"1";"";""
"";"";"";"";""
"Wie unterstützt das LMS Gruppenarbeit und Kollaboration unter den Lernenden? (n = 31)";"Description";"Rating";"Count";"%"
"";"unterstützt gar nicht";"1";"0";"0"
"";"";"2";"4";"12.9"
"";"";"3";"10";"32.26"
"";"";"4";"13";"41.94"
"";"unterstützt sehr stark";"5";"4";"12.9"
"";"";"";"";""
"";"Average";"3.55";"";""
"";"Standard Deviation";"0.87";"";""
"";"";"";"";""
"Welchen Einfluss hat die Benutzeroberfläche des LMS auf Ihre Interaktionsmöglichkeiten? (n = 31)";"Description";"Rating";"Count";"%"
"";"keinen Einfluss";"1";"1";"3.23"
"";"";"2";"5";"16.13"
"";"";"3";"10";"32.26"
"";"";"4";"13";"41.94"
"";"sehr großen Einfluss";"5";"2";"6.45"
"";"";"";"";""
"";"Average";"3.32";"";""
"";"Standard Deviation";"0.93";"";""
"";"";"";"";""
