"Ich bin mit der Teilnahme am 5DCR-Test einverstanden. (n = 11)";"Answer";"Count";"%";"Value";""
"";"Ich stimme zu.";"11";"100";"1";""
"";"Ich nehme nicht teil.";"0";"0";"2";""
"";"";"";"";"";""
"";"Average";"";"";"1";""
"";"Standard Deviation";"";"";"0";""
"";"";"";"";"";""
"Wie sehr sind Sie daran interessiert, neue Dinge zu erkunden? (n = 10)";"Row";"Answer";"Count";"%";"Value"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"weder noch";"0";"0";"4"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft eher zu";"3";"30";"5"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft zu";"4";"40";"6"
"";"Ich sehe herausfordernde Situationen als Chance an, um zu wachsen und zu lernen.";"trifft voll und ganz zu";"3";"30";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6"
"";"";"Standard Deviation";"";"";"0.77"
"";"";"";"";"";""
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft nicht zu";"0";"0";"2"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"triff eher nicht zu";"2";"20";"3"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"weder noch";"0";"0";"4"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft eher zu";"3";"30";"5"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft zu";"5";"50";"6"
"";"Ich suche gezielt Situationen auf, in denen ich wahrscheinlich intensiv über etwas nachdenken muss.";"trifft voll und ganz zu";"0";"0";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"5.1"
"";"";"Standard Deviation";"";"";"1.14"
"";"";"";"";"";""
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft gar nicht zu";"0";"0";"1"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft nicht zu";"0";"0";"2"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"triff eher nicht zu";"0";"0";"3"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"weder noch";"0";"0";"4"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft eher zu";"3";"30";"5"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft zu";"4";"40";"6"
"";"Es bereitet mir Freude, etwas über Themen zu erfahren, die mir noch unbekannt sind.";"trifft voll und ganz zu";"3";"30";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6"
"";"";"Standard Deviation";"";"";"0.77"
"";"";"";"";"";""
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft gar nicht zu";"0";"0";"1"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft nicht zu";"0";"0";"2"
"";"Ich finde es faszinierend, Neues zu lernen.";"triff eher nicht zu";"0";"0";"3"
"";"Ich finde es faszinierend, Neues zu lernen.";"weder noch";"0";"0";"4"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft eher zu";"2";"20";"5"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft zu";"2";"20";"6"
"";"Ich finde es faszinierend, Neues zu lernen.";"trifft voll und ganz zu";"6";"60";"7"
"";"";"";"";"";""
"";"";"Average";"";"";"6.4"
"";"";"Standard Deviation";"";"";"0.8"
"";"";"";"";"";""
