"Ich habe die Einverständniserklärung gelesen und stimme der Teilnahme an der Umfrage zu. (n = 3)";"Answer";"Count";"%";"Value";""
"";"Ja";"3";"100";"1";""
"";"Nein";"0";"0";"2";""
"";"";"";"";"";""
"";"Average";"";"";"1";""
"";"Standard Deviation";"";"";"0";""
"";"";"";"";"";""
"Bitte geben Sie Ihr Geburtsdatum an. (n = 3)";"Date";"Count";"%";"";""
"";"19.11.1970";"1";"33.33";"";""
"";"02.09.2001";"1";"33.33";"";""
"";"08.02.2002";"1";"33.33";"";""
"";"";"";"";"";""
"Welches Geschlecht haben Sie? (n = 3)";"Answer";"Count";"%";"Value";""
"";"weiblich";"2";"66.67";"1";""
"";"männlich";"1";"33.33";"2";""
"";"divers";"0";"0";"3";""
"";"keine angäbe";"0";"0";"4";""
"";"";"";"";"";""
"";"Average";"";"";"1.33";""
"";"Standard Deviation";"";"";"0.47";""
"";"";"";"";"";""
"In welchem geografischen Raum leben Sie derzeit? (n = 3)";"Answer";"Count";"%";"";""
"";"Afrika";"0";"0";"";""
"";"Asien";"0";"0";"";""
"";"Europa";"3";"100";"";""
"";"Südamerika";"0";"0";"";""
"";"Nordamerika";"0";"0";"";""
"";"Ozeanien";"0";"0";"";""
"";"Australien";"0";"0";"";""
"";"Andere";"0";"0";"";""
"";"";"";"";"";""
"Welche Konzepte passen zu fließendem Wasser? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Regeneration";"Passt sehr gut";"1";"33.33";"1"
"";"Regeneration";"Passt gut";"1";"33.33";"2"
"";"Regeneration";"Passt weniger gut";"1";"33.33";"3"
"";"Regeneration";"Passt  nicht";"0";"0";"4"
"";"Regeneration";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"0.82"
"";"";"";"";"";""
"";"Reinigung";"Passt sehr gut";"2";"66.67";"1"
"";"Reinigung";"Passt gut";"1";"33.33";"2"
"";"Reinigung";"Passt weniger gut";"0";"0";"3"
"";"Reinigung";"Passt  nicht";"0";"0";"4"
"";"Reinigung";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"";"Ruhe";"Passt sehr gut";"0";"0";"1"
"";"Ruhe";"Passt gut";"3";"100";"2"
"";"Ruhe";"Passt weniger gut";"0";"0";"3"
"";"Ruhe";"Passt  nicht";"0";"0";"4"
"";"Ruhe";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2"
"";"";"Standard Deviation";"";"";"0"
"";"";"";"";"";""
"";"Bewegung";"Passt sehr gut";"1";"33.33";"1"
"";"Bewegung";"Passt gut";"1";"33.33";"2"
"";"Bewegung";"Passt weniger gut";"0";"0";"3"
"";"Bewegung";"Passt  nicht";"1";"33.33";"4"
"";"Bewegung";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.33"
"";"";"Standard Deviation";"";"";"1.25"
"";"";"";"";"";""
"";"Vitalität";"Passt sehr gut";"2";"66.67";"1"
"";"Vitalität";"Passt gut";"1";"33.33";"2"
"";"Vitalität";"Passt weniger gut";"0";"0";"3"
"";"Vitalität";"Passt  nicht";"0";"0";"4"
"";"Vitalität";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"1.33"
"";"";"Standard Deviation";"";"";"0.47"
"";"";"";"";"";""
"Welche Konzepte passen zu Spinnennetzen? (n = 3)";"Row";"Answer";"Count";"%";"Value"
"";"Verbindung";"Passt sehr gut";"0";"0";"1"
"";"Verbindung";"Passt gut";"2";"66.67";"2"
"";"Verbindung";"Passt weniger gut";"0";"0";"3"
"";"Verbindung";"Passt  nicht";"1";"33.33";"4"
"";"Verbindung";"Keine Antwort";"0";"0";"5"
"";"";"";"";"";""
"";"";"Average";"";"";"2.67"
"";"";"Standard Deviation";"";"";"0.94"
"";"";"";"";"";""
