"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Hatten Sie bisher schon Kontakt mit dem Rettungsdienst?";"2. Wie alt sind Sie?";"3. In welcher beruflichen Situation befinden Sie sich?";"4. Auf welche Art und Weise hatten Sie Kontakt mit dem Rettungsdienst?";"5. In welcher Situation haben Sie den Rettungsdienst erlebt?";"6. Wie lange hat der Rettungsdienst aus Ihrer Erinnerung heraus vom Anruf/ Notruf bis zum Eintreffen gebraucht?";"7. Im folgenden Abschnitt können Sie die Fragen mit 'trifft voll zu' bis 'trifft gar nicht zu' beantworten. Die Fragen zielen dabei auf ihre persönliche Wahrnehmung des Einsatzgeschehens &amp; -personals ab.";"Ich habe mich beim Personal sehr gut aufgehoben gefühlt.";"Das Anliegen wurde vom Personal ernst genommen.";"Das Personal war stets freundlich und höflich.";"Das Personal war geduldig.";"Das Personal machte einen fachlich-kompetenten Eindruck auf mich.";"Ich wurde durch den Rettungsdienst gut beraten.";"Man konnte die Krankenhauswahl beeinflussen.";"Das Erscheinungsbild des Rettungsdienstes war gepflegt.";"Mein Gesamteindruck vom Rettungsdienstpersonal war sehr gut.";
"48951974";"53c3ea2";"06.09.2018 14:24";"06.09.2018 14:25";"teilgenommen und beendet";"ja";"30-55";"Akademiker";"Mitarbeiter";"Notfalleinsatz";"5-10 Min.";"";"3";"3";"3";"3";"3";"4";"4";"5";"3";
"48952087";"d60f14e";"06.09.2018 14:27";"06.09.2018 14:29";"teilgenommen und beendet";"ja";"18-30";"Arbeitslos";"Alles davon";"Alles davon";"5-10 Min.";"";"2";"1";"2";"3";"1";"2";"4";"2";"2";
"48952090";"a9449bf";"06.09.2018 14:27";"06.09.2018 16:20";"teilgenommen und beendet";"nein";"18-30";"Schüler/ Student";"Angehöriger";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"2";"2";"2";"2";"3";"2";"4";"3";"2";
"48952099";"5c1976d";"06.09.2018 14:27";"06.09.2018 14:29";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"3";"2";"2";"4";"1";"1";"3";"2";"4";
"48952132";"1fc73ad";"06.09.2018 14:28";"06.09.2018 14:30";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge";"Notfalleinsatz";"&gt,15 Min.";"";"3";"3";"4";"2";"3";"2";"4";"3";"4";
"48952139";"17bb0fc";"06.09.2018 14:28";"06.09.2018 14:29";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"0-5 Min.";"";"2";"2";"1";"2";"1";"2";"3";"1";"2";
"48952144";"baf59b4";"06.09.2018 14:28";"06.09.2018 14:30";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"10-15 Min.";"";"4";"5";"4";"3";"4";"5";"5";"1";"4";
"48952159";"60f2f92";"06.09.2018 14:29";"06.09.2018 14:31";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"1";"2";"2";"3";"3";"3";"5";"2";"2";
"48952160";"b084d6e";"06.09.2018 14:28";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Beruflich";"Krankentransport";"5-10 Min.";"";"2";"2";"1";"3";"2";"2";"1";"1";"2";
"48952169";"4e1c4c2";"06.09.2018 14:29";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Ich arbeite im Rettugsdienst";"Krankentransport";"5-10 Min.";"";"3";"2";"1";"3";"2";"2";"3";"1";"2";
"48952180";"4c27e7a";"06.09.2018 14:29";"06.09.2018 14:33";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Als RH";"Sanitätsdienst/ Veranstaltung";"5-10 Min.";"";"2";"2";"2";"2";"2";"2";"1";"2";"2";
"48952192";"8444f04";"06.09.2018 14:30";"06.09.2018 14:31";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"1";"2";"2";"2";"3";"2";"2";
"48952200";"7005c4f";"06.09.2018 14:30";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"30-55";"Akademiker";"Angehöriger";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"3";"3";"2";"3";"4";"3";"2";
"48952203";"9fdad18";"06.09.2018 14:30";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Anrufer";"Notfalleinsatz";"10-15 Min.";"";"2";"3";"2";"2";"3";"2";"2";"2";"2";
"48952228";"11d381c";"06.09.2018 14:31";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Patient";"Krankentransport";"10-15 Min.";"";"2";"2";"2";"2";"2";"2";"5";"2";"2";
"48952229";"5a5bff9";"06.09.2018 14:31";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Hilfeleistung";"5-10 Min.";"";"1";"2";"1";"1";"1";"1";"5";"1";"2";
"48952230";"3b7abdf";"06.09.2018 14:31";"06.09.2018 14:32";"teilgenommen und beendet";"ja";"18-30";"Umschulung";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"3";"1";"1";
"48952244";"c185844";"06.09.2018 14:31";"06.09.2018 14:57";"teilgenommen, aber noch nicht beendet";"nein";"18-30";"Schüler/ Student";"Zeuge";"Sanitätsdienst/ Veranstaltung";"";"";"";"";"";"";"";"";"";"";"";
"48952258";"4118ff5";"06.09.2018 14:31";"06.09.2018 14:36";"teilgenommen und beendet";"ja";"30-55";"Angestellter";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"3";"2";"3";"3";"1";"2";"5";"1";"3";
"48952260";"8e2a3b4";"06.09.2018 14:32";"06.09.2018 14:33";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Feuerwehr";"Hilfeleistung";"0-5 Min.";"";"1";"2";"1";"2";"1";"1";"2";"1";"1";
"48952278";"2b92378";"06.09.2018 14:32";"06.09.2018 14:34";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Hilfeleistung";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48952284";"ca38394";"06.09.2018 14:32";"06.09.2018 14:34";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Pflegekraft";"Notfalleinsatz";"0-5 Min.";"";"3";"4";"4";"4";"4";"4";"3";"2";"4";
"48952291";"e90561a";"06.09.2018 14:32";"06.09.2018 14:35";"teilgenommen und beendet";"ja";"30-55";"Feuerwehrbeamter";"In jeder Art die angeben ist";"In allen angegebenen Bereichen";"5-10 Min.";"";"2";"2";"3";"3";"3";"3";"4";"2";"2";
"48952297";"99133b8";"06.09.2018 14:33";"06.09.2018 14:34";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Krankentransport";"0-5 Min.";"";"2";"3";"2";"2";"2";"2";"5";"1";"3";
"48952306";"64abf4f";"06.09.2018 14:33";"06.09.2018 14:35";"teilgenommen und beendet";"ja";"55-70";"Akademiker";"Patient";"Hilfeleistung";"0-5 Min.";"";"2";"2";"2";"3";"2";"2";"4";"1";"2";
"48952310";"da1969c";"06.09.2018 14:33";"06.09.2018 14:34";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient";"Notfalleinsatz";"10-15 Min.";"";"1";"2";"2";"2";"1";"2";"4";"1";"1";
"48952316";"255205f";"06.09.2018 14:33";"06.09.2018 14:34";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Rettungsdienstfachpersonal";"Einsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"48952320";"4123d9c";"06.09.2018 14:33";"06.09.2018 14:37";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"0-5 Min.";"";"2";"1";"2";"3";"2";"4";"3";"2";"2";
"48952328";"4b49d2b";"06.09.2018 14:33";"06.09.2018 14:35";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Angehöriger";"Notfalleinsatz";"";"";"1";"1";"1";"1";"1";"1";"3";"1";"1";
"48952330";"9922d61";"06.09.2018 14:33";"06.09.2018 14:35";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Angestellter im RD";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"2";"2";"2";"2";"4";"2";"2";
"48952332";"6251e9c";"06.09.2018 14:32";"06.09.2018 14:37";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Patient, Angehörig, Zeuge, Anrufer";"Alles";"5-10 Min.";"";"3";"2";"3";"4";"3";"3";"4";"3";"3";
"48952340";"e57efd5";"06.09.2018 14:33";"06.09.2018 14:35";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Alle oben genannte";"Alle";"5-10 Min.";"";"3";"3";"2";"3";"2";"2";"2";"1";"2";
"48952344";"9b9f9f2";"06.09.2018 14:33";"06.09.2018 14:35";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Angestellter";"Mitarbeiter im Rettungsdienst";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48952356";"dc0f702";"06.09.2018 14:33";"06.09.2018 14:36";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"5-10 Min.";"";"1";"2";"2";"2";"2";"1";"3";"1";"1";
"48952363";"e244d14";"06.09.2018 14:34";"06.09.2018 14:36";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"2";"3";"1";"1";
"48952369";"35db5ba";"06.09.2018 14:34";"06.09.2018 14:36";"teilgenommen und beendet";"ja";"30-55";"Akademiker";"Angehöriger";"Notfalleinsatz";"10-15 Min.";"";"1";"1";"2";"1";"1";"1";"5";"1";"1";
"48952371";"5a1ebc3";"06.09.2018 14:34";"06.09.2018 14:36";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"2";"2";"2";"3";"2";"2";
"48952389";"d3ffdbf";"06.09.2018 14:35";"06.09.2018 14:36";"teilgenommen und beendet";"ja";"18-30";"BFD";"PAT+ANG+ZEU+ANR";"Notfalleinsatz";"5-10 Min.";"";"2";"1";"2";"3";"1";"2";"3";"2";"2";
"48952391";"4c6006a";"06.09.2018 14:34";"06.09.2018 14:46";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"10-15 Min.";"";"2";"2";"2";"2";"2";"2";"5";"2";"2";
"48952396";"aa96f1b";"06.09.2018 14:35";"06.09.2018 14:38";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Zeuge, Anrufer und Angehöriger";"Notfalleinsatz, Sanitätsdienst/ Veranstaltung Hilfeleistung";"10-15 Min.";"";"2";"2";"2";"2";"1";"2";"3";"1";"1";
"48952413";"6cd48fd";"06.09.2018 14:35";"06.09.2018 14:38";"teilgenommen und beendet";"nein";"18-30";"Schüler/ Student";"Eine Freundin arbeitet im Rwttungsdienst";"Hilfeleistung";"10-15 Min.";"";"2";"2";"2";"2";"2";"2";"3";"1";"1";
"48952414";"8d6c746";"06.09.2018 14:35";"06.09.2018 14:42";"teilgenommen und beendet";"ja";"18-30";"Notfallsanitäter";"Einsatzpersonal";"Notfalleinsatz";"5-10 Min.";"";"1";"1";"3";"2";"2";"2";"4";"2";"2";
"48952418";"44818c2";"06.09.2018 14:35";"06.09.2018 14:38";"teilgenommen und beendet";"ja";"18-30";"ungelernt/ arbeitslos";"Quasi mein Job";"Notfalleinsatz";"10-15 Min.";"";"3";"3";"4";"4";"1";"1";"5";"2";"2";
"48952422";"8741ab6";"06.09.2018 14:35";"06.09.2018 14:37";"teilgenommen, aber noch nicht beendet";"ja";"18-30";"Schüler/ Student";"Alles";"Notfalleinsatz";"5-10 Min.";"";"";"";"";"";"";"";"";"";"";
"48952447";"545f595";"06.09.2018 14:36";"06.09.2018 14:38";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Krankentransport";"5-10 Min.";"";"1";"3";"2";"3";"1";"1";"1";"1";"2";
"48952457";"1c2fdd1";"06.09.2018 14:36";"06.09.2018 14:43";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Hilfeleistung";"5-10 Min.";"";"2";"2";"3";"3";"1";"4";"1";"2";"2";
"48952458";"82bc9be";"06.09.2018 14:36";"06.09.2018 14:39";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Notfallsanitäter Azubi";"Alle 4";"0-5 Min.";"";"1";"1";"1";"2";"2";"2";"3";"2";"1";
"48952498";"ca9c29c";"06.09.2018 14:38";"06.09.2018 14:39";"teilgenommen und beendet";"ja";"30-55";"selbstständig";"Patient";"Notfalleinsatz";"0-5 Min.";"";"1";"1";"1";"1";"1";"1";"5";"1";"1";
"48952508";"2392b25";"06.09.2018 14:38";"06.09.2018 14:40";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Patient";"Notfalleinsatz";"10-15 Min.";"";"2";"1";"2";"3";"2";"2";"3";"2";"2";
"48952512";"176614d";"06.09.2018 14:38";"06.09.2018 14:40";"teilgenommen und beendet";"ja";"18-30";"Schüler/ Student";"Anrufer";"Notfalleinsatz";"0-5 Min.";"";"2";"2";"1";"3";"1";"2";"1";"2";"1";
"48952520";"4ad599c";"06.09.2018 14:39";"06.09.2018 14:40";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Angehöriger";"Notfalleinsatz";"&gt,15 Min.";"";"2";"2";"2";"2";"2";"2";"2";"2";"2";
"48952521";"33e64ce";"06.09.2018 14:39";"06.09.2018 14:41";"teilgenommen und beendet";"ja";"18-30";"Angestellter";"Zeuge";"Notfalleinsatz";"5-10 Min.";"";"2";"2";"3";"3";"2";"2";"4";"1";"2";
