"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Standart-Arbeitsanweisungen oder Muster-Algorithmen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine rettungsdienstliche Beschäftigung beträgt...";"5. Meine rettungsdienstliche Tätigkeit beträgt...";"6. Ich gehöre zu einer der folgenden Berufsgruppen:";"7. Inwieweit wurden bisher Ihre vorgegebenen Standard-Arbeitsanweisungen bzw. Muster-Algorithmen genau so (1:1) von Ihnen in realen Einsatzsituationen so umgesetzt, wie diese beschrieben sind?";"8. Bei welchen Einsatzsituationen konnten Ihre Standard-Arbeitsanweisungen bzw. Muster-Algorithmen nicht genau so (1:1) umgesetzt werden?";"9. Was denken Sie?  Welche Gründe verhinderten die 1:1 Umsetzung Ihrer Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen?";"10. Was denken Sie?  Welche Faktoren waren für die Umsetzung Ihrer Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen hilfreich?";
"60782269";"9fe3b3a";"15.09.2019 19:03";"15.09.2019 19:05";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"80";"Analgesie";"Dosierungsvorgaben (Analgesie) nicht ausreichend";"";
"60782270";"3224fab";"15.09.2019 19:03";"15.09.2019 20:32";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"0";"Es gibt keine für NFS sichere SOP so das eine 1:1 Umsetzung nicht möglich ist";"Keine adäquate Schulungen kaum Rückendeckung durch ÄLRD";"";
"60782284";"7d3264f";"15.09.2019 19:04";"15.09.2019 19:04";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"";"";"";"";
"60782313";"313bb45";"15.09.2019 19:06";"15.09.2019 19:07";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"70";"VU, Reanimation, pol. Lagen";"Zu theoretisch";"";
"60782321";"35b3a5c";"15.09.2019 19:06";"15.09.2019 19:09";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"100";"Indikation nicht gegeben , Zu viele Differentialdiagnosen, Kontraindikationen";"Siehe oben , Keine Freigabe durch ÄLRD o.ä. , Jährliche Überprüfung nicht bestanden";"";
"60782340";"bf9d212";"15.09.2019 19:06";"15.09.2019 19:07";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notärzte / Notärztinnen";"";"";"";"";
"60782343";"4561cdb";"15.09.2019 19:07";"15.09.2019 19:08";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"";"";"";"";
"60782346";"544bf3f";"15.09.2019 19:07";"15.09.2019 19:20";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"10";"Patienten paßen nicht zu SAA-Anwendungsbedingungen, Egal ob Analgesie (KI für S-Ketanest bei RR unter 100mmHg), Obstruierte Atemwege (KI für Salbutamol bei HF über 120bpm), Pacing (nur bei Bewußtlosigkeit, daher Pacer off wenn Patient unter erfolgreicher Intervention an Vigilanz gewinnt), etc., Wir befinden uns in der 4ten Revisionsfassung, inhaltlich nicht sinnvoller geworden";"SAA's behindern zu stark 'gesunden Menschenverstand'";"";
"60782352";"281bf9b";"15.09.2019 19:07";"15.09.2019 19:08";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"80";"";"";"";
"60782366";"7d00706";"15.09.2019 19:08";"15.09.2019 19:09";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"50";"";"";"";
"60782380";"abc234b";"15.09.2019 19:08";"15.09.2019 19:09";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rettungsassistenten/-innen";"";"";"";"";
"60782382";"bb9d1d0";"15.09.2019 19:09";"15.09.2019 19:09";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
"60782399";"bbba3a0";"15.09.2019 19:09";"15.09.2019 19:13";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"80";"Bei einem Krampfanfall";"Zum Teil die Dosierung";"";
"60782414";"6928d1f";"15.09.2019 19:11";"15.09.2019 19:12";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"Notfallsanitäter/-innen";"";"";"";"";
