"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht definiere ich als";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland, in dem ich Standard-Arbeitsanweisungen oder Muster-Algorithmen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine rettungsdienstliche Beschäftigung beträgt...";"5. Meine rettungsdienstliche Tätigkeit beträgt...";"6. Ich gehöre zu einer der folgenden Berufsgruppen:";"7. In der Regel werden im bundesdeutschen Rettungsdienst Standard-Arbeitsanweisungen bzw. Muster-Algorithmen beschrieben und zur Anwendung vorgegeben.  Wie sehr setzten Sie diese genau so (1:1) in realen Einsatzsituationen um?";"8. In welchen Einsatzsituationen konnten Sie die Standard-Arbeitsanweisungen bzw. Muster-Algorithmen nicht genau so (1:1) umsetzen?";"9. Was denken Sie?  Welche Faktoren waren für die Umsetzung der Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen eher hinderlich?";"10. In welchen Einsatzsituationen konnten Sie die Standard-Arbeitsanweisungen bzw. Muster-Algorithmen genau so (1:1) umsetzen?";"11. Was denken Sie?  Welche Faktoren waren für die Umsetzung der Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen eher hilfreich?";"12. Was ist Ihnen in Bezug zu der Umsetzung von Standard-Arbeitsanweisungen bzw. Muster-Algorithmen in realen Einsatzsituationen noch wichtig mitzuteilen?";
"60860517";"be2b2f1";"18.09.2019 10:29";"18.09.2019 10:31";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 18 und 20";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"mehr als 5 Jahre";"Notärzte / Notärztinnen";"0";"";"";"";"";"";
"60860527";"afac262";"18.09.2019 10:30";"18.09.2019 10:31";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860606";"9ada7ea";"18.09.2019 10:33";"18.09.2019 10:34";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860617";"e8a8c86";"18.09.2019 10:34";"18.09.2019 10:39";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"20";"SOPs passen meiner Erfahrung nach selten exakt. Man muss fast immer geringfügig abweichen, sei es zwecks Zeitersparnis, wegen räumlicher Gegebenheiten, wegen der Bedürfnisse/Wünsche des Patienten u.v.a.m";"s.o.";"Selten";"Keine";"SOPs/Algorithmen sollten als Richtschnur dienen, jedoch keinesfalls selbstständiges Denken oder gute Ausbildung ersetzen. Diese Gefahr sehe ich - je nach Umsetzung/Kontrolle.";
"60860636";"403e88d";"18.09.2019 10:33";"18.09.2019 10:35";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Rettungssanitäter /-innen";"";"";"";"";"";"";
"60860652";"1cb7f6e";"18.09.2019 10:34";"18.09.2019 10:35";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"60860663";"f49a44f";"18.09.2019 10:35";"18.09.2019 10:36";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"";"";"";"";"";"";
"60860684";"8e7c81b";"18.09.2019 10:36";"18.09.2019 10:36";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"60860699";"cac5ed3";"18.09.2019 10:35";"18.09.2019 10:41";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"Vollzeit (100%)";"mehr als 5 Jahre";"Notfallsanitäter/-innen";"20";"So gut wie allen Situationen. Da sich keiner im Rettungsdienstbereich an die SOPs hält beziehungsweise der ÄLRD nichts frei gibt.";"Kein richtig benannter ÄLRD/ Zu alter ÄLRD der nicht mit der Zeit geht. , , Des Weiteren die Rechtliche nicht vorhandene Absicherung";"Siehe oben.";"S.o.";"DAs es sehr schwierig ist ohne den richtigen rückenhalt und einen ÄLRD sich an die SOP oder SAA zu halten. Da rechtlich nichts wirklich gedeckelt ist.";
"60860703";"b05f1da";"18.09.2019 10:36";"18.09.2019 10:37";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"zwischen 3 und 5 Jahren";"Notfallsanitäter/-innen";"";"";"";"";"";"";
