"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"-";"Gewichtung";"Selbstreflektion";"Gewichtung";"Pharmazie";"Gewichtung";"d";"Gewichtung";"X";"Gewichtung";"Keine";"Gewichtung";"Sozialkompetenz";"Gewichtung";"Kompetenz";"Gewichtung";"Resignation";"Gewichtung";
"71184688";"053088c";"14.06.2020 13:37";"14.06.2020 13:42";"teilgenommen und beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"IHK geprüfter Ausbilder (gem. AEVO)";"zwischen 5 und weniger als 10 Jahren";"";"4";"3";"nein";"70";"0";"80";"0";"0";"";"10";"60";"20";"20";"20";"";"";"";"";"1";"";"";"";"";"";"";"";"1";"1";"Einstellung des Prüflings und Divergenz zwischen Eigen- u. Fremdwahrnehmung.";"";"2";"67%";"2";"67%";"2";"67%";"2";"67%";"3";"67%";"2";"67%";"3";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71184710";"94f9c0c";"14.06.2020 13:38";"14.06.2020 13:38";"teilgenommen, aber noch nicht beendet";"";"zwischen 18 und 20";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71184731";"fdc41b3";"14.06.2020 13:39";"14.06.2020 13:39";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71184883";"891945c";"14.06.2020 13:43";"14.06.2020 13:54";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Lehrer für Gesundheitsfachberufe";"zwischen 10 und weniger als 15 Jahren";"";"10";"1";"nein";"70";"50";"0";"100";"100";"Sind für das falsche Zielpublikum konzipiert. RettAss sind häufig nicht ausreichend vorgebildet und bringen noch häufiger die falsche Vorstellung zum Beruf des NotSan mit. Mehr als eine Bildungssache sind die EP eine Einstellungssache der TN.";"20";"60";"0";"0";"70";"In NRW ist es innerhalb der 1960h Praxis quasi nicht möglich, das Kompetenzspektrum des NotSan zu schulen, da es kaum ausreichend qualifiziertes Personal af den RTW gibt, welches das Handlungsspektrum des NotSan vernünftig abbilden kann,. Hinzu kommt,. dass in NRW die Notarzt Alarmierungsschwelle dermaßen niedrig liegt, dass der NotSan kaum zum Handeln kommt.";"";"1";"1";"1";"";"";"";"";"1";"";"";"";"";"Bei der Vollausbildung lag es an mangelhafter Vorbereitung des Schülers. Weder Fachsprache, noch ausreichend viele Kompetenzen wurden gezeigt. Es fehlte an grundlegendem Verständnis im Berereich Notfallmedizin (dritter Teiul der mündlichen Prüfung). Bei den EP ist es häufig unstrukturiertes Handeln in Kombination mit mangelhaftem Verständnis, was sich darin spiegelt, das die Reflexionsgespräche die gravierenden Lücken aufdecken.";"";"2";"67%";"2";"67%";"1";"100%";"2";"100%";"1";"100%";"1";"100%";"2";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71184895";"15d94fb";"14.06.2020 13:43";"14.06.2020 13:51";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"";"Arzt in Klinik";"";"";"";"";"1";"";"";"";"1";"";"";"";"zwischen 5 und weniger als 10 Jahren";"";"5";"5";"ja";"20";"70";"10";"60";"50";"";"10";"70";"0";"80";"50";".";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"Überheblichkeit, mangelnde Vorbereitung, Aufregung";"";"1";"100%";"2";"67%";"1";"100%";"1";"100%";"3";"33%";"2";"67%";"2";"33%";"3";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71184921";"95a62f1";"14.06.2020 13:44";"14.06.2020 13:48";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"1";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 20 und weniger als 25 Jahren";"";"250";"50";"nein";"30";"70";"70";"70";"30";"";"30";"70";"30";"30";"20";"";"";"1";"1";"1";"";"";"";"1";"1";"";"";"1";"";"";"";"1";"100%";"1";"67%";"2";"33%";"1";"67%";"3";"33%";"1";"33%";"3";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71185062";"8f5e7f0";"14.06.2020 13:48";"14.06.2020 13:51";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"4";"1";"nein";"20";"30";"0";"10";"10";"";"20";"70";"0";"0";"0";"";"";"";"1";"1";"";"";"";"";"";"1";"1";"1";"1";"Unterschätzung";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71185448";"cc2bad0";"14.06.2020 14:00";"14.06.2020 14:00";"teilgenommen, aber noch nicht beendet";"divers";"zwischen 51 und 60";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71185734";"dc2a0ae";"14.06.2020 14:09";"14.06.2020 14:17";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"1";"";"";"";"";"";"1";"";"Krpfl";"";"";"";"1";"";"Lehrbeauftragter";"zwischen 10 und weniger als 15 Jahren";"";"2";"4";"nein";"80";"90";"30";"80";"80";"";"70";"70";"70";"40";"70";"";"";"1";"1";"1";"";"";"";"";"1";"1";"";"1";"";"Unzureichende Prüfungsvorbereitungen seitens TN &amp; teilweise Schule. Aber auch zu hohe Anforderungen seitens Prüfkolkegen. Nicht jede Erkrankung, bzw Wirkweise von Arzneimitteln muss bis auf Zellebene benannt werden.";"";"2";"67%";"2";"67%";"3";"33%";"2";"67%";"2";"67%";"2";"67%";"3";"0%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"71185836";"441c5dd";"14.06.2020 14:12";"14.06.2020 14:13";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
