"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"Ich verstehe die Frage nicht. Als Lehrender oder als NotSan?";"Gewichtung";"T";"Gewichtung";"Keine";"Gewichtung";"Fühlen sich teilweise zu sicher";"Gewichtung";"Arroganz";"Gewichtung";"Kritikfähigkeit";"Gewichtung";"/";"Gewichtung";
"88392732";"bvirf9p";"15.11.2021 17:02";"15.11.2021 17:08";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"3";"4";"nein";"0";"30";"0";"0";"20";"";"0";"80";"10";"0";"0";"";"";"";"1";"1";"";"";"1";"1";"1";"1";"1";"1";"";"Defizite in den Grundlagen wie z.B. stab. Seitenlage, lebensrettende Sofortmaßnahmen, etc. sowie in ruhigem, überlegten und orientiertem Vorgehen.";"";"3";"67%";"4";"100%";"1";"67%";"3";"100%";"3";"67%";"4";"67%";"3";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88392817";"pa9nqc4";"15.11.2021 17:04";"15.11.2021 17:04";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88393123";"hcymhnu";"15.11.2021 17:10";"15.11.2021 17:34";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"Schulleiter einer Berufsfachschule für Notfallsanitäter";"";"";"";"1";"";"";"";"";"";"1";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"6";"36";"nein";"0";"20";"20";"100";"90";"Die Angaben sind für den 80 UE Lehrgang";"20";"80";"20";"10";"10";"";"";"1";"";"";"";"";"1";"";"";"1";"";"1";"";"Unzureichende Zeit für die Vorbereitung., Nicht ernst nehmen der Prüfung., Eigenüberschätzung.";"";"3";"100%";"3";"67%";"2";"67%";"3";"67%";"3";"67%";"4";"100%";"1";"67%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88393133";"mbeu4fj";"15.11.2021 17:11";"15.11.2021 17:14";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"Fachkrankenpflegee";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"10";"10";"nein";"50";"20";"60";"50";"50";"";"50";"50";"10";"50";"50";"";"";"1";"1";"1";"";"";"1";"";"1";"1";"1";"1";"1";"";"";"1";"67%";"3";"67%";"1";"67%";"1";"67%";"3";"33%";"1";"67%";"3";"0%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88393183";"wzbbezq";"15.11.2021 17:12";"15.11.2021 17:13";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 1 und weniger als 5 Jahren";"";"200";"100";"nein";"50";"50";"50";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88393283";"77tucdk";"15.11.2021 17:14";"15.11.2021 17:15";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88394053";"rdeewkq";"15.11.2021 17:31";"15.11.2021 17:32";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88394531";"bfcmgfw";"15.11.2021 17:41";"15.11.2021 17:47";"teilgenommen und beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"zwischen 1 und weniger als 5 Jahren";"";"4";"2";"nein";"40";"0";"20";"40";"50";"";"30";"10";"20";"10";"20";"";"";"1";"1";"";"";"";"";"";"1";"1";"1";"";"1";"Die Prüflinge denken zu sehr in Schubladen, wobei gerade in der Notfallmedizin Flexibilität gefragt ist.";"";"4";"67%";"3";"33%";"4";"0%";"3";"33%";"4";"67%";"4";"67%";"5";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88394820";"7xvkm4x";"15.11.2021 17:48";"15.11.2021 17:48";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 21 und 30";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88395067";"9yhzw99";"15.11.2021 17:54";"15.11.2021 17:57";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 5 und weniger als 10 Jahren";"";"0";"10";"nein";"20";"20";"70";"70";"80";"";"30";"50";"50";"50";"50";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88395474";"y7tpabw";"15.11.2021 18:04";"15.11.2021 18:05";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"88395633";"d7q7ige";"15.11.2021 18:09";"15.11.2021 18:13";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"weniger als 1 Jahr";"";"1";"1";"nein";"0";"50";"0";"0";"0";"";"0";"50";"0";"0";"0";"";"";"";"1";"1";"";"";"";"";"";"1";"1";"1";"1";"";"";"2";"67%";"1";"100%";"3";"33%";"2";"100%";"3";"33%";"3";"67%";"1";"33%";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
