"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Welches Genre soll auf jeden Fall gespielt werden?";"1980er";"1990er";"Alternative (Musik)";"Charts";"Country-Musik";"Deutschrock";"Disco (Musik)";"Elektronische Tanzmusik";"Eurodance";"Folk";"Funk (Musik)";"Industrial";"Jazz";"Klassische Musik";"Kölsche Leedcher";"Neue Deutsche Welle";"New Wave";"Popmusik";"Reggae";"Rhythm and Blues";"Rock ’n’ Roll";"Rockmusik";"Schlager";"Soul";"Tanzmusik (Standart / Latein)";"Techno";"Weltmusik";"Western Swing";"Textfeld";"2. Welches Genre soll auf gar keinen Fall gespielt werden?";"1980er";"1990er";"Alternative (Musik)";"Charts";"Country-Musik";"Deutschrock";"Disco (Musik)";"Elektronische Tanzmusik";"Eurodance";"Folk";"Funk (Musik)";"Industrial";"Jazz";"Klassische Musik";"Kölsche Leedcher";"Neue Deutsche Welle";"New Wave";"Popmusik";"Reggae";"Rhythm and Blues";"Rock ’n’ Roll";"Rockmusik";"Schlager";"Soul";"Tanzmusik (Standart / Latein)";"Techno";"Weltmusik";"Western Swing";"Textfeld";"3. Welches Lied / welche Lieder möchtest du gerne hören?";"4. Welches Lied / welche Lieder möchtest Du eher nicht hören?";
"92018134";"f39a7yv";"15.06.2022 13:41";"15.06.2022 13:53";"teilgenommen und beendet";"";"1";"1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Fergie - Fergalisous, Black eyed peas - pump it , Red hot chili peppers - cant stop , Gigi D'agostino, Outkast - Ms Jackson";"Helene Fischer , Wolfgang Petry";
"92021957";"meys7xq";"15.06.2022 18:30";"15.06.2022 18:52";"teilgenommen und beendet";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"1";"";"";"";"";"";"";"";"";"1";"";"";"1";"1";"";"";"Cold Play, Harry Styles, ELO, Queen - we're the Champions und andere, Depeche Mode  80er Titel, U2 - Beautiful day, Bloody Sunday, In the name of love, New years day, with or without you, bad, where the street have no name, I still haven't found..., I will follow, AC/DC - Long way to the top, dirty deeds, hells bells,, Icehouse , Achim Reichel - Sansibar, Exxon Valdez, Tom Petty - Learning to fly, won't back down, etc., George Ezra - Listen to the man, Shotgun, Anyone, Ed Sheeran - egal welches";"Wolfgang Petri - alles nicht!!!, Helene Fischer - alles nicht!!!, Mickie Krause - alles nicht!!!!!!!, Andrea Berg - nichts davon!!!, , Deutsche Schlager nach Möglichkeit gar nicht";
"92044593";"kzvfenc";"17.06.2022 23:22";"17.06.2022 23:24";"teilgenommen und beendet";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"Stääne, Küngelköpp, Buuredanz, Bläck Fööss , Stadt mit K, Kasalla";"";
"92048589";"ynbuh3q";"18.06.2022 18:35";"18.06.2022 18:37";"teilgenommen und beendet";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"1";"";"";"";"";"";"";"1";"";"";"";"";"";"Shanty Chor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";
"92051730";"mubybpc";"19.06.2022 13:19";"19.06.2022 13:30";"teilgenommen und beendet";"";"1";"";"1";"";"1";"";"";"";"";"1";"1";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"C2C, Derek Martin- Happy, Alicia Walter- Standing at Your Doorstep, Cher- The Shoop Shoop Song";"Helene Fischer!";
"92055691";"ghbdnnz";"20.06.2022 09:26";"20.06.2022 09:29";"teilgenommen, aber noch nicht beendet";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";
"92231310";"jsneqcr";"03.07.2022 19:22";"03.07.2022 19:41";"teilgenommen und beendet";"";"1";"1";"1";"";"";"";"1";"1";"";"1";"1";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Indie, Funk";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"Zum Tanzen: , Mojo Club! , , Son of a preacher man: Marvin Gaye, Don't start now: Dua Lipa, wild and free:Lena, books from boxes: Maximo Park, time warp- rocky horror picture show, you never can tell-chuck Berry, marry me- bruno mars , My Sharona: The Knack, New Shoes: Paolo Nutini , Viva La Vida: Coldplay , All the single Ladies: Beyonce , 1234: Feist, Abba: Dancing Queen, What a life: Scarlet Pleasure , , , im Hintergrund, oder wann auch immer, aber nicht so sehr zum Tanzen: , The Lumineers, William Fitzsimmons, Jose Gonzalez, Biffy Clyro, The Weakerthans, Carla Bruni, Eddie Vedder, Glen Hansard, Lea, Jack Johnson, Kings of Convenience, , Bisschen Liebe: , The Rose -  Bette Middler, The one I love -David Gray, Weil du die Liebe meines Lebens bist- Phillip Poisel, Heute ist ein schöner Tag um glücklich zu sein Lea und Max Herre, Aint no mountain high enough, Shallow und Million Reasons von Lady Gaga, Happy-Bukahara, Kompliment: Sportfreunde Stiller, Time of my Life - Dirty Dancing";"";
"92232148";"ewhse4t";"03.07.2022 23:09";"05.07.2022 20:11";"teilgenommen und beendet";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Liquid Spirit von Gregory Porter, L‘enfer von Stromae, In the blood von John Mayer, Jack Johnson…";"";
"92247753";"acvar4n";"04.07.2022 13:03";"04.07.2022 13:05";"teilgenommen und beendet";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Tanz als wärs der letzten Tanz , Heaven- Brian Adams, I will survive- Gloria Gaynor, I just died in your Arms tonight, Following the Sun-Neeka";"";
"92280979";"gstqnkp";"05.07.2022 14:23";"05.07.2022 14:23";"teilgenommen und beendet";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Der letzte Tanz - Bosse, Bye Bye  - Sarah Connor";"";
