"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Mein Geschlecht...";"2. Mein Lebensalter in Jahren ist...";"3. Das Bundesland in dem ich Prüfungen durchführe ist...";"Baden-Württemberg";"Bayern";"Berlin";"Brandenburg";"Bremen";"Hamburg";"Hessen";"Mecklenburg-Vorpommern";"Niedersachsen";"Nordrhein-Westfalen";"Rheinland-Pfalz";"Saarland";"Sachsen";"Sachsen-Anhalt";"Schleswig-Holstein";"Thüringen";"4. Meine Beschäftigungszeit als Prüfer/in beträgt...";"5. Mein Beschäftigungsverhältnis ist...";"Angestellte/r in der Verwaltung";"Beamte/r in der Verwaltung";"Angestellte/r in einer Rettungsdienstschule";"Honorarkraft";"Textfeld";"6. Meine höchste medizinische Qualifikation ist...";"keine medizinische Qualifikation";"Rettungsassistent/in";"Notfallsanitäter/in";"(Not-) ärztliche Qualifiaktion";"Textfeld";"7. Meine höchste pädagogische Qualifikation ist...";"keine pädagogische Qualifikation";"Lehrrettungsassistent/in";"Praxisanleitende Notfallsanitäter/in";"Bildungswissenschaftler/in, Pädagoge/in, Erziehungswissenschaftler/in";"Textfeld";"8. Meine Tätigkeit als Prüfer/in beträgt...";"9. Die Anzahl meiner Prüfungen ist...";"Ergänzungsprüfungen";"Vollprüfungen";"10. Ich bin als Vorsitz einer Prüfungskommission eingesetzt...";"11. Die Ergänzungsprüfung empfinde ich als...";"12. Den Schwierigkeitsgrad der Ergänzungsprüfungen empfinde ich als...";"13. Den zeitlichen Rahmen der Ergänzungsprüfungen empfinde ich als...";"14. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"15. Die methodische Vorbereitung auf die Ergänzungsprüfungen empfinde ich als...";"16. Meine Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"17. Die Vollprüfungen empfinde ich als...";"18. Den Schwierigkeitsgrad der Vollprüfungen empfinde ich als...";"19. Den zeitlichen Rahmen der Vollprüfungen empfinde ich als...";"20. Die inhaltliche Vorbereitung auf die Vollprüfungen empfinde ich als...";"21. Die methodische Vorbereitung auf die Vollprüfungen empfinde ich als...";"22. Meine Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"23. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"24. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"25. Welche Gründe haben Ihrer Meinung nach zum Nichtbestehen von Prüfungen geführt?";"26. Nach absolvierter Prüfung erlebe ich die/der/das...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"-";"Gewichtung";"Zeit zu knapp";"Gewichtung";"Angaben in diesem Abschnitt sich nur auf die Ergänzungsprüfung";"Gewichtung";
"97207792";"xh7iyah";"19.10.2023 00:38";"19.10.2023 02:00";"teilgenommen und beendet";"";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"3";"4";"nein";"50";"0";"10";"50";"50";"";"30";"30";"30";"10";"10";"";"";"1";"1";"1";"";"";"";"";"1";"1";"1";"1";"1";"Basismassnahmen nicht durchgeführt/ erklärt";"";"2";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"";"";"";"";
"97210225";"4rum9bc";"19.10.2023 06:38";"19.10.2023 06:44";"teilgenommen und beendet";"männlich";"zwischen 51 und 60";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 10 und weniger als 15 Jahren";"";"30";"11";"ja";"10";"50";"20";"20";"20";"";"20";"50";"20";"20";"20";"";"";"1";"1";"1";"";"";"";"";"";"";"";"1";"1";"Individuelle Fehler, da Nichtbeachtung einzelner Faktoren, teilweise Fixierungsfehler insbesondere bei Ergänzungsprüfungen, selten einfach nicht dafür geeignet";"";"2";"67%";"2";"67%";"2";"67%";"2";"67%";"3";"67%";"1";"67%";"2";"67%";"";"";"";"";"";"";
"97210344";"ad9dbsz";"19.10.2023 06:53";"19.10.2023 06:57";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"1";"";"";"";"";"1";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"0";"5";"ja";"30";"40";"60";"70";"30";"";"20";"60";"80";"20";"0";"";"";"";"1";"1";"";"";"";"";"";"1";"";"1";"";"";"";"4";"67%";"3";"67%";"1";"100%";"3";"33%";"2";"67%";"4";"67%";"3";"67%";"";"";"";"";"";"";
"97210425";"rnfkwhz";"19.10.2023 07:05";"19.10.2023 07:10";"teilgenommen und beendet";"weiblich";"zwischen 31 und 40";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"0";"2";"nein";"40";"50";"80";"80";"50";"";"20";"40";"40";"40";"50";"";"";"1";"1";"1";"";"1";"1";"1";"1";"";"";"1";"1";"Ungenügende Wiederholung der Lerninhalte aus allen drei Ausbildungsjahren";"";"2";"67%";"2";"67%";"3";"67%";"3";"67%";"3";"67%";"3";"67%";"2";"67%";"";"";"";"";"";"";
"97210530";"zvzvjku";"19.10.2023 07:22";"19.10.2023 07:22";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 31 und 40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"Teilzeit (50% und mehr)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"weniger als 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97210548";"bn4xigc";"19.10.2023 07:25";"19.10.2023 07:33";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"weniger als 1 Jahr";"";"1";"14";"nein";"20";"20";"20";"50";"10";"";"10";"80";"10";"0";"10";"";"";"";"";"1";"";"";"";"";"";"1";"1";"1";"1";"Missverständnisse durch Patientendarstellung. Fixierungsfehler bei der Wahrnehmung der Situation.";"";"3";"33%";"3";"33%";"1";"100%";"3";"33%";"2";"67%";"2";"67%";"2";"67%";"";"";"";"";"";"";
"97210584";"bzirwqa";"19.10.2023 07:29";"19.10.2023 17:41";"teilgenommen, aber noch nicht beendet";"weiblich";"zwischen 31 und 40";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"Teilzeit (50% und mehr)";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"";"zwischen 1 und weniger als 5 Jahren";"";"20";"80";"nein";"50";"50";"50";"50";"50";"";"50";"50";"50";"50";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97210801";"4tz9ywn";"19.10.2023 07:58";"19.10.2023 07:58";"teilgenommen, aber noch nicht beendet";"";"zwischen 21 und 30";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"97210831";"s3wasxc";"19.10.2023 08:02";"19.10.2023 08:05";"teilgenommen und beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Teilzeit (weniger als 50%)";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"zwischen 10 und weniger als 15 Jahren";"";"25";"10";"nein";"10";"10";"90";"20";"10";"";"10";"70";"70";"30";"10";"";"";"1";"1";"1";"";"";"1";"1";"1";"1";"1";"1";"1";"mangelnde Vorbereitung. Bei Ergänzungsprüfungen oftmals die fehlende Reflektion des bisher gelebten und der Lehrmeinung. Daraus folgt eine nicht leitliniengerechte Abarbeitung der Prüfung";"";"1";"";"2";"";"2";"";"1";"";"2";"";"1";"";"2";"";"";"";"";"";"";"";
"97212423";"df7mib3";"19.10.2023 10:32";"19.10.2023 14:14";"teilgenommen, aber noch nicht beendet";"männlich";"zwischen 41 und 50";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"Vollzeit (100%)";"";"";"";"";"";"Mobiler Rettungsdienst";"";"";"";"1";"";"";"";"1";"";"";"";"";"zwischen 15 und weniger als 20 Jahren";"";"1";"1";"nein";"20";"50";"30";"30";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
