"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Erklären Sie sich mit der Teilnahme an der Umfrage ' Möglichkeiten und Grenzen von Agilität' einverstanden?";"2. In welche Branche ordnen Sie sich ein?";"3. Sind Sie im beruflichem Umfeld mit agilen Prozessen beschäftigt?";"4. Welche Erfahrungen haben Sie mit Agilität?";"5. Welche Möglichkeiten sehen Sie in der Agilität?";"6. Welche Grenzen sehen Sie in der Agilität?";"7. Welche Gedanken möchten Sie noch teilen?";
"94603705";"winbgsb";"05.02.2023 16:37";"05.02.2023 16:38";"teilgenommen, aber noch nicht beendet";"ja";"Dienstleistungen";"ja";"";"";"";"";
"94603974";"ga9zk77";"05.02.2023 17:39";"05.02.2023 23:53";"teilgenommen und beendet";"ja";"Dienstleistungen";"nein";"";"";"";"";
"94606214";"rgji4cd";"06.02.2023 06:55";"06.02.2023 06:56";"teilgenommen und beendet";"ja";"In keiner der hier genannten";"ja";"";"";"";"";
"94609901";"tfskn43";"06.02.2023 13:29";"06.02.2023 13:29";"teilgenommen, aber noch nicht beendet";"ja";"Bauen";"ja";"";"";"";"";
"94632951";"hvwawpk";"07.02.2023 20:40";"07.02.2023 20:41";"teilgenommen, aber noch nicht beendet";"ja";"";"";"";"";"";"";
"94654297";"kegpbbq";"08.02.2023 20:49";"08.02.2023 20:51";"teilgenommen, aber noch nicht beendet";"ja";"Unternehmen";"ja";"";"";"";"";
"94655487";"hjmca4c";"08.02.2023 22:49";"08.02.2023 22:51";"teilgenommen und beendet";"ja";"Dienstleistungen";"ja";"Keine";"Bin mir nicht bewusst.l";"KEINER.";"Viel Glück";
"94661227";"jyyxxca";"09.02.2023 14:01";"09.02.2023 14:01";"teilgenommen, aber noch nicht beendet";"ja";"";"";"";"";"";"";
"94661458";"ms4sngk";"09.02.2023 14:21";"09.02.2023 14:44";"teilgenommen, aber noch nicht beendet";"ja";"Dienstleistungen";"ja";"Als Rettungshelfer gab es einen Rahmen. Innerhalb von 8 Minuten am Einsatzort sein. Bei Eintreffen bei Bedarf sofort lebenserhaltende Massnahmen ergreifen. In meiner Beruflichen Praxis ist es die Blackbox zwischen Anforderung und Auslieferung. Nach Abstimmung Anforderungen wird gerne vergessen welche Abhängigkeiten bestehen. Dennoch werden Arbeitspakete (unvollständig) definiert und gehen in die Abarbeitung, leider viel zu oft ohne Aktzeptanzkritieren, geschweige den wie sich Zwischenergebnisse testen lassen. Bei dann, spontan auftretenden Rückfragen, bleibt es oft unklar wer, wann, eine aufklärende Antwort geben kann. Im Zeitalter von KI und Cloudanwendungen wird das nicht einfacher. Immer seltener finden wir in Projekten sterile Umgebungen wie ein OP-Saal mit abgezählten Instrumenten vor. Die Zeit für Performance Ausführung von einstudierten Abläufen haben sich eher «senorige» Teammates genommen. Andere sagen dazu Erfahrung. Unerfahrene Teamates halten oft dem Druck nicht Stand und liefern fehlerhafte Ergebnisse. Überlastete Entscheidet winken mangels Durchblick Ergebnisse durch. In Folge wird die Behebung der Fehler draussen beim Kunden in der Praxis richtig teuer.";"Bei ausreichender Achtsamkeit, also objektiver und lösungsorientierter Blick auf Situation und Kontext, ausserhalb von Autopilot, automatischen Antworten, eine riesige Chance für nachhaltige Veränderung und Verbesserung vom Status Quo.";"Agilität ist kein Allheilmittel. Keine Antwort auf alles. Ein großes Missverständnis ist mit hochperformanten Teams schneller Produkte an den Markt zu bringen um schnellst möglich Marktanteile zu sichern und auszubauen.";"";
"94661820";"jktdwjp";"09.02.2023 14:53";"09.02.2023 14:54";"teilgenommen und beendet";"ja";"In keiner der hier genannten";"ja";"";"";"";"";
"94662075";"adkyz97";"09.02.2023 15:10";"09.02.2023 15:11";"teilgenommen, aber noch nicht beendet";"ja";"";"";"";"";"";"";
"94662843";"3fqvddc";"09.02.2023 15:59";"09.02.2023 15:59";"teilgenommen, aber noch nicht beendet";"ja";"Unternehmen";"ja";"";"";"";"";
"94666138";"gafctfk";"09.02.2023 20:30";"09.02.2023 20:40";"teilgenommen und beendet";"ja";"Dienstleistungen";"ja";"Als Agile Coach, unterschiedliche Kundenprojekte umgesetzt. , , Speaker zum Thema";"Richtig eingesetzt kann Agilität sehr sinnvoll eingesetzt werden. , Leider wird in einigen Projekten Agilität als als Feigenblatt eingesetzt, da die Voraussetzungen und Ziele fehlen.";"Wenn es um reines Abarbeiten oder Themen im einfachen oder komplizierten Bereich sind, ist der Hebel von Agilität überschaubar.";"Agilität im richtigen Bereich, mit einer klaren Vision und den richtigen Rahmenbedingungen ist ein großartiger Ansatz.";
