"_Antwort-ID";"Resume-Code";"IP-Adresse";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Welche Ausbildung soll erfasst werden?";"2. Welche tatsächliche Zeit wurde für den fachpraktischen Teil der Prüfung benötigt?";"3. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Rettungshelferinnen und Rettungshelfer sind wichtig mitzuteilen?";"4. Welcher praktischen Teil der Prüfung soll erfasst werden?";"5. Welche tatsächliche Zeit wurde für den Prüfungsteil „Notfallmedizinischen Versorgung“ benötigt?";"6. Welche tatsächliche Zeit wurde für den Prüfungsteil „Herzkreislaufstillstand mit Reanimation“ benötigt?";"7. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Rettungssanitäterinnen und Rettungssanitäter sind wichtig mitzuteilen?";"8. Welcher praktischen Teil der Prüfung soll erfasst werden?";"9. Welche tatsächliche Zeit wurde für den Prüfungsteil „Internistischen Notfälle“ benötigt?";"10. Welche tatsächliche Zeit wurde für den Prüfungsteil „Traumatologischen Notfälle“ benötigt?";"11. Welche tatsächliche Zeit wurde für den Prüfungsteil „Herzkreislaufstillstand mit Reanimation“ benötigt?";"12. Welche tatsächliche Zeit wurde für den Prüfungsteil „Sonstiger Prüfungsfall“ benötigt?";"13. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Notfallsanitäterinnen und Notfallsanitäter sind wichtig mitzuteilen?";
"95052834";"err4kkh";"";"17.03.2023 17:13";"17.03.2023 17:14";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"20";"";"";"";"";"";"";"";"";"";"";"";
"95052840";"ep4tggn";"";"17.03.2023 17:14";"17.03.2023 17:14";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"18";"";"";"";"";"";"";"";"";"";"";"";
"95052851";"md4dkz9";"";"17.03.2023 17:14";"17.03.2023 17:15";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"20";"";"";"";"";"";"";"";"";"";"";"";
"95052860";"f4k7vhd";"";"17.03.2023 17:15";"17.03.2023 17:15";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"21";"";"";"";"";"";"";"";"";"";"";"";
"95052866";"hh9bapi";"";"17.03.2023 17:15";"17.03.2023 17:15";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"19";"";"";"";"";"";"";"";"";"";"";"";
"95052875";"fsrw3x3";"";"17.03.2023 17:16";"17.03.2023 17:16";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"19";"";"";"";"";"";"";"";"";"";"";"";
"95052909";"zmhgdsz";"";"17.03.2023 17:19";"17.03.2023 17:19";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"21";"";"";"";"";"";"";"";"";"";"";"";
"95052911";"zjzr77u";"";"17.03.2023 17:19";"17.03.2023 17:19";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"19";"";"";"";"";"";"";"";"";"";"";"";
"95052918";"zwma9ta";"";"17.03.2023 17:19";"17.03.2023 17:19";"teilgenommen und beendet";"Rettungshelferinnen und Rettungshelfer";"23";"";"";"";"";"";"";"";"";"";"";"";
"95072903";"iihrnym";"2.202.195.162";"20.03.2023 10:53";"20.03.2023 10:53";"teilgenommen und beendet";"";"30";"";"";"";"";"";"";"";"";"";"";"";
