"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Ich bin einverstanden und möchte an der Umfrage teilnehmen.";"2. Welche Ausbildung soll erfasst werden?";"3. Welche tatsächliche Zeit wurde für den fachpraktischen Teil der Prüfung benötigt?";"4. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Rettungshelferinnen und Rettungshelfer sind wichtig mitzuteilen?";"5. In welchem Bundesland fand die Prüfung der Rettungshelferinnen und Rettungshelfer statt?";"6. Welcher praktischen Teil der Prüfung soll erfasst werden?";"7. Welche tatsächliche Zeit wurde für den Prüfungsteil „Notfallmedizinischen Versorgung“ benötigt?";"8. Welche tatsächliche Zeit wurde für den Prüfungsteil „Herzkreislaufstillstand mit Reanimation“ benötigt?";"9. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Rettungssanitäterinnen und Rettungssanitäter sind wichtig mitzuteilen?";"10. In welchem Bundesland fand die Prüfung der Rettungssanitäterinnen und Rettungssanitäter statt?";"11. Welcher praktischen Teil der Prüfung soll erfasst werden?";"12. Welche tatsächliche Zeit wurde für den Prüfungsteil „Internistischen Notfälle“ benötigt?";"13. Welche tatsächliche Zeit wurde für den Prüfungsteil „Traumatologischen Notfälle“ benötigt?";"14. Welche tatsächliche Zeit wurde für den Prüfungsteil „Herzkreislaufstillstand mit Reanimation“ benötigt?";"15. Welche tatsächliche Zeit wurde für den Prüfungsteil „Sonstiger Prüfungsfall“ benötigt?";"16. Welche hilfreichen Anmerkungen in Bezug zu den praktischen Teilen der Prüfung Notfallsanitäterinnen und Notfallsanitäter sind wichtig mitzuteilen?";"17. In welchem Bundesland fand die Prüfung der Notfallsanitäterinnen und Notfallsanitäter statt?";
"95061112";"sa7wmnr";"18.03.2023 16:44";"18.03.2023 16:45";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"20";"20";"20";"20";"";"Bayern";
"95061454";"ukmcgbn";"18.03.2023 17:27";"18.03.2023 17:29";"teilgenommen und beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Herzkreislaufstillstand mit Reanimation";"";"";"20";"20";"";"Nordrhein-Westfalen";
"95061541";"v74umja";"18.03.2023 17:35";"18.03.2023 17:39";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"95061847";"tjwkifv";"18.03.2023 18:22";"18.03.2023 18:23";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Sonstiger Prüfungsfall";"";"";"";"";"";"";
"95062384";"49msn9e";"18.03.2023 19:43";"18.03.2023 19:43";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"";"";"";"";"";"";
"95064295";"h7zpwrj";"18.03.2023 22:43";"18.03.2023 22:44";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Internistischen Notfälle";"";"";"";"";"";"";
"95065758";"nmnp4rk";"19.03.2023 09:26";"19.03.2023 09:26";"teilgenommen, aber noch nicht beendet";"ja";"Notfallsanitäterinnen und Notfallsanitäter";"";"";"";"";"";"";"";"";"- Herzkreislaufstillstand mit Reanimation";"";"";"";"";"";"";
"95066095";"hfh7eas";"19.03.2023 11:28";"19.03.2023 11:28";"teilgenommen, aber noch nicht beendet";"ja";"Rettungssanitäterinnen und Rettungssanitäter";"";"";"";"- Notfallmedizinischen Versorgung";"";"";"";"";"";"";"";"";"";"";"";
"95068131";"a44h4e7";"19.03.2023 17:15";"19.03.2023 17:15";"teilgenommen, aber noch nicht beendet";"ja";"Rettungssanitäterinnen und Rettungssanitäter";"";"";"";"- Notfallmedizinischen Versorgung";"";"";"";"";"";"";"";"";"";"";"";
"95068753";"kjjuhru";"19.03.2023 18:53";"19.03.2023 18:54";"teilgenommen, aber noch nicht beendet";"ja";"Rettungssanitäterinnen und Rettungssanitäter";"";"";"";"- Herzkreislaufstillstand mit Reanimation";"";"";"";"";"";"";"";"";"";"";"";
