"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Das Bundesland in dem die Bildungseinrichtung liegt, ist...";"2. Die Trägerschaft der Bildungseinrichtung hat ein/e...";"3. Die Bildungseinrichtung hat eine Anerkennung als Notfallsanitäterschule...";"4. Die medizin-fachlichen Beschäftigungsverhältnisse an der Bildungseinrichtung sind...";"Angestellte/r";"RettHelf";"RettSan";"RettAss";"NotSan";"(Not)Arzt";"ohne";"Beamte/r";"RettHelf";"RettSan";"RettAss";"NotSan";"(Not)Arzt";"ohne";"Honorarkraft";"RettHelf";"RettSan";"RettAss";"NotSan";"(Not)Arzt";"ohne";"Schulleitung";"RettHelf";"RettSan";"RettAss";"NotSan";"(Not)Arzt";"ohne";"5. Die pädagogischen Beschäftigungsverhältnisse an der Bildungseinrichtung sind...";"Angestellte/r";"Studium";"PAL";"LRA";"DozRD";"FoBi";"WB";"ohne";"Beamte/r";"Studium";"PAL";"LRA";"DozRD";"FoBi";"WB";"ohne";"Honorarkraft";"Studium";"PAL";"LRA";"DozRD";"FoBi";"WB";"ohne";"Schulleitung";"Studium";"PAL";"LRA";"DozRD";"FoBi";"WB";"ohne";"6. Die Anzahl der bisher durchgeführten Prüfungen an der Bildungseinrichtung sind...";"Ergänzungsprüfungen EP1";"Ergänzungsprüfungen EP2";"Ergänzungsprüfungen EP3";"Vollprüfungen";"7. Die Anzahl der bisher Geprüften an der Bildungseinrichtung sind...";"Ergänzungsprüfungen EP1";"1. Versuch  bestanden";"2. Versuch  bestanden";"nicht bestanden";"Ergänzungsprüfungen EP2";"1. Versuch  bestanden";"2. Versuch  bestanden";"nicht bestanden";"Ergänzungsprüfungen EP3";"1. Versuch  bestanden";"2. Versuch  bestanden";"nicht bestanden";"Vollprüfungen";"1. Versuch  bestanden";"2. Versuch  bestanden";"nicht bestanden";"8. Die Durchführung der Ergänzungsprüfungen erfolgen...";"9. Der Schwierigkeitsgrad der Ergänzungsprüfungen ist...";"10. Der zeitlichen Rahmen der Ergänzungsprüfungen ist...";"11. Die inhaltliche Vorbereitung auf die Ergänzungsprüfungen ist...";"12. Die methodische Vorbereitung auf die Ergänzungsprüfungen ist überwiegend...";"13. Anmerkungen zur Vorbereitung und Durchführung der Ergänzungsprüfungen...";"14. Die Durchführung der Vollprüfungen erfolgen...";"15. Der Schwierigkeitsgrad der Vollprüfungen ist...";"16. Der zeitlichen Rahmen der Vollprüfungen ist...";"17. Die inhaltliche Vorbereitung auf die Vollprüfungen ist...";"18. Die methodische Vorbereitung auf die Vollprüfungen ist...";"19. Anmerkungen zur Vorbereitung und Durchführung der Vollprüfung...";"20. Nicht bestanden wurden die Ergänzungsprüfungen in den Prüfungsteilen...";"Mündliche Prüfung";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"21. Nicht bestanden wurden die Vollprüfungen in den Prüfungsteilen...";"Schriftliche Prüfung Teil 1";"Schriftliche Prüfung Teil 2";"Schriftliche Prüfung Teil 3";"Mündliche Prüfung";"Praktische Prüfung Teil Reanimation";"Praktische Prüfung Teil internistische Notfälle";"Praktische Prüfung Teil traumatologische Notfälle";"Praktische Prüfung Teil sonstige Notfälle";"22. Nach absolvierter Prüfung erwarben die Geprüften...";"Fachwissen";"Gewichtung";"Struktur";"Gewichtung";"Verantwortung";"Gewichtung";"Können";"Gewichtung";"Pflichtgefühl";"Gewichtung";"Sorgfalt";"Gewichtung";"Ansehen";"Gewichtung";"Sozialkompetenz";"Gewichtung";"solche Zeilen als Pflicht nerven...";"Gewichtung";"berufliches Selbstbewußtsein";"Gewichtung";"23. In der eigenen Bildungseinrichtung ist...";"der Prüfungsinhalt mit den rechtlichen Vorgaben konform.";"Gewichtung";"die (pädagogische) Konzeption aktuellen bildungswissenschaftlichen Theorien angeglichen.";"Gewichtung";"die materielle Ausstattung modern.";"Gewichtung";"die Durchführung der Prüfung rechts-sicher.";"Gewichtung";"die Lehrumgebung teilnehmerorientiert.";"Gewichtung";"die Abfolge der Veranstaltungen zur Prüfungsvorbereitung ausgewogen.";"Gewichtung";"erfolgt die Dokumentation der Prüfung mit neuen Medien.";"Gewichtung";"die Prüfungsvorbereitung rein auf das Bestehen der Prüfung abgestimmt.";"Gewichtung";"24. Durch die Änderungen der Berufsausbildung besteht für die Bildungseinrichtung die Möglichkeit zum wirtschaftlichen Aufschwung.";"25. Durch die Änderungen der Berufsausbildung besteht für die Bildungseinrichtung eine wirtschaftliche Gefährdung.";"26. Was wurde bisher wenig berücksichtigt und ist noch anzumerken?";
"27662503";"62a41a2";"10.08.2016 13:35";"10.08.2016 13:52";"teilgenommen und beendet";"Nordrhein-Westfalen";"Kommune";"ja";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"0";"";"";"";"";"1";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"0";"";"5";"0";"0";"0";"";"";"36";"18";"1";"";"0";"0";"0";"";"0";"0";"0";"";"0";"0";"0";"30";"60";"0";"20";"20";"Den TN muss vor der Prüfung ein fachlicher Rahmen aufgezeigt werden, der in den Prüfungen verlangt wird. , Ein Großteil der TN ist durch chirurgische Fallbeispiele gefallen., Es muss in Vorbereitungskursen ein Paradigmenwechsel bei den TN herbeigeführt werden, so dass die neue Rolle des eigenständig handelden NotSan verstanden wird.";"50";"50";"50";"50";"50";"";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"1";"100%";"3";"33%";"1";"100%";"1";"100%";"3";"33%";"3";"67%";"2";"67%";"";"";"";"";"";"";"";"2";"33%";"2";"33%";"4";"67%";"2";"67%";"4";"67%";"4";"67%";"1";"67%";"2";"33%";"0";"0";"";
"27662803";"48a865f";"10.08.2016 13:55";"10.08.2016 14:09";"teilgenommen und beendet";"Rheinland-Pfalz";"Hilfsorganisation";"ja";"";"";"";"";"";"3";"";"";"";"";"";"";"";"";"x";"";"";"";"";"6";"6";"";"";"";"";"";"1";"";"";"";"";"";"3";"";"";"";"3";"";"";"";"";"";"";"";"";"x";"";"";"";"3";"";"";"";"";"";"";"";"";"";"";"1";"";"";"2";"0";"0";"1";"";"";"12";"4";"0";"";"0";"";"";"";"0";"";"";"";"5";"3";"";"10";"70";"10";"70";"20";"";"10";"90";"0";"100";"20";"";"";"1";"";"1";"";"";"";"1";"1";"1";"";"1";"";"";"2";"100%";"1";"100%";"3";"100%";"1";"100%";"1";"100%";"2";"67%";"1";"100%";"";"";"";"";"";"";"";"5";"100%";"5";"100%";"3";"100%";"5";"100%";"5";"100%";"4";"100%";"3";"100%";"3";"100%";"60";"60";"";
"27685986";"4f64c42";"11.08.2016 17:05";"11.08.2016 17:05";"teilgenommen, aber noch nicht beendet";"Nordrhein-Westfalen";"Kommune";"ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"27729031";"549757c";"15.08.2016 12:44";"15.08.2016 14:11";"teilgenommen und beendet";"Niedersachsen";"Kommune";"ja";"";"";"";"";"";"";"1";"1";"";"";"1";"5";"15";"";"";"";"";"";"3";"5";"6";"1";"";"";"";"";"2";"";"";"";"";"";"";"";"";"1";"";"";"";"";"12";"12";"1";"12";"4";"";"";"";"3";"3";"5";"2";"";"";"";"1";"2";"2";"1";"2";"1";"";"";"2";"0";"0";"1";"";"";"43";"3";"";"";"0";"";"";"";"0";"";"";"";"20";"2";"";"0";"70";"10";"10";"10";"";"10";"80";"20";"10";"10";"";"";"1";"1";"";"";"";"";"";"1";"";"1";"";"";"";"2";"";"1";"";"2";"";"2";"";"3";"";"2";"";"2";"";"2";"67%";"";"";"";"";"";"5";"67%";"5";"67%";"5";"67%";"5";"67%";"5";"67%";"4";"67%";"3";"33%";"3";"33%";"80";"20";"";
"27747995";"aa62169";"16.08.2016 15:16";"16.08.2016 15:17";"teilgenommen, aber noch nicht beendet";"Hessen";"Hilfsorganisation";"ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28138020";"58fba79";"08.09.2016 10:22";"08.09.2016 10:30";"teilgenommen und beendet";"Hessen";"Hilfsorganisation";"ja";"";"";"";"";"";"7";"";"";"";"0";"";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"";"6";"";"";"0";"";"";"";"";"";"";"";"";"5";"3";"";"";"";"";"";"1";"";"";"";"";"";"";"";"12";"0";"0";"0";"";"";"97";"32";"1";"";"0";"0";"0";"";"0";"0";"0";"";"0";"0";"0";"0";"80";"60";"60";"40";"Initial fanden 40 UE Vorbereitung statt, die inzwischen auf 80 UE erhöht sind. Hauptproblem sind die völlig heterogenen Ausgangsbedingungen.";"50";"50";"50";"50";"50";"Die erste steht kurz bevor";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"2";"";"1";"";"1";"";"2";"";"2";"";"2";"";"1";"";"";"";"3";"33%";"";"";"";"5";"100%";"5";"100%";"5";"100%";"4";"67%";"4";"67%";"5";"100%";"5";"33%";"4";"33%";"100";"0";"";
"28218274";"fde69bd";"13.09.2016 08:42";"13.09.2016 09:05";"teilgenommen und beendet";"Nordrhein-Westfalen";"Hilfsorganisation";"ja";"";"";"0";"";"";"";"";"";"";"0";"";"";"";"";"";"";"0";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"2";"5";"4";"4";"";"";"";"";"";"";"";"";"";"1";"";"";"20";"1";"3";"8";"";"";"11";"7";"2";"";"1";"";"";"";"3";"";"";"";"4";"";"";"0";"100";"0";"50";"0";"Vielfach ist die mentale Grundhaltung der Teilnehmenden ein Problem, da diese sich nicht in ausreichender Weise mit den Prüfungs- und Berufsanforderungen im Vorfeld auseinandergesetzt zu haben scheinen.";"0";"80";"50";"0";"0";"";"";"1";"1";"1";"";"1";"1";"1";"";"";"1";"1";"1";"";"2";"67%";"1";"100%";"2";"100%";"1";"100%";"2";"100%";"2";"100%";"2";"33%";"";"";"";"";"";"";"";"5";"100%";"5";"100%";"5";"67%";"5";"100%";"5";"100%";"4";"67%";"1";"33%";"1";"100%";"0";"100";"Dire Aspekte 24 und 25 sind derzeit sehr problematisch, da die Finanzierung der NotSan-Aus- und Weiterbildungen in NRW noch immer nicht flächendeckend umgesetzt ist. Daher halten sich viele Rettungsdienstes (Ausnahme kommunale Eigenbetriebe) mit der Qualifizierung zurück.";
"28269531";"b7ff751";"15.09.2016 12:57";"15.09.2016 12:58";"teilgenommen, aber noch nicht beendet";"Hessen";"Hilfsorganisation";"ja";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"28272517";"2a030f2";"15.09.2016 14:55";"15.09.2016 15:11";"teilgenommen und beendet";"Niedersachsen";"Kommune";"ja";"";"";"";"";"";"";"";"0";"";"";"";"";"6";"";"";"";"";"";"2";"3";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"6";"";"";"";"3";"2";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"4";"0";"0";"1";"";"";"63";"10";"2";"";"0";"";"";"";"0";"";"";"";"26";"";"";"10";"40";"10";"30";"40";"";"10";"40";"10";"20";"20";"";"";"1";"1";"1";"";"";"";"";"1";"1";"1";"1";"1";"";"1";"67%";"1";"67%";"2";"100%";"2";"100%";"2";"100%";"1";"100%";"2";"33%";"";"";"";"";"";"";"";"5";"100%";"5";"67%";"4";"67%";"5";"100%";"4";"100%";"5";"67%";"3";"0%";"2";"33%";"100";"0";"";
"28286115";"dc8c723";"16.09.2016 08:05";"16.09.2016 08:45";"teilgenommen und beendet";"Nordrhein-Westfalen";"Hilfsorganisation";"ja";"";"";"";"";"4";"";"";"";"";"0";"0";"0";"0";"0";"0";"";"";"3";"20";"5";"6";"";"";"";"";"2";"";"";"";"";"";"4";"4";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"";"10";"12";"15";"";"";"";"";"";"2";"2";"";"";"";"";"";"";"3";"0";"1";"15";"";"";"15";"3";"0";"";"0";"0";"0";"";"16";"";"";"";"0";"0";"0";"0";"60";"10";"20";"30";"";"50";"50";"50";"50";"50";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"67%";"2";"67%";"2";"33%";"2";"67%";"2";"67%";"3";"33%";"2";"33%";"";"";"";"";"";"";"";"5";"100%";"4";"67%";"5";"100%";"5";"100%";"5";"100%";"4";"67%";"2";"33%";"3";"";"70";"30";"";
