"_Antwort-ID";"Resume-Code";"Start";"Datum und Zeit";"Teilnahmestatus";"1. Zu welchem Zeitpunkt wünschen Sie sich die Erfassung der Ergebnisse aus den selbstorganisierten Lernphasen?";"2. Zu welchem Zeitpunkt wünschen Sie sich die Verfügbarkeit der Ergebnisse aus den selbstorganisierten Lernphasen?";"3. Wie wichtig sind Ihnen folgende Eigenschaften von Ergebnissen aus den selbstorganisierten Lernphasen?";"Übersichtlichkeit";"Auffindbarkeit";"Selbstorganisation";"4. Wie wichtig sind Ihnen folgende Möglichkeiten von Ergebnissen aus den selbstorganisierten Lernphasen?";"Fragen an Experten";"Expertenwissen erhalten";"Diskussionen führen";"Hinweise erhalten";"5. Mal angenommen, Sie hätten in Ihrem Lehrgang die abgefragten Eigenschaften und Möglichkeiten gehabt und diese wären sinnvoll von allen Teilnehmenden umgesetzt worden.    Wie hilfreich wäre es für die Sicherung der Gruppenarbeitsphasen gewesen?";"6. Was ist noch besonders wichtig zu erwähnen oder wurde vergessen zu fragen?";"7. Mein Geschlecht...";"8. Mein Lebensalter in Jahren ist...";
"31364364";"f1481b3";"04.01.2017 09:51";"04.01.2017 09:51";"teilgenommen, aber noch nicht beendet";"kurz danach";"kurz danach";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31365339";"01a5697";"04.01.2017 10:49";"04.01.2017 10:55";"teilgenommen und beendet";"kurz danach";"kurz danach";"";"2";"4";"2";"";"1";"2";"2";"2";"sehr hilfreich";"Ergebnisse aus Diskussionen, welche nicht bereits durch die Gruppe visualisiert worden sind, in einem Tafelbild fixieren.";"männlich";"zwischen 21 und 30";
"31366527";"ff836cc";"04.01.2017 11:43";"04.01.2017 11:45";"teilgenommen und beendet";"im Tagesverlauf";"im Tagesverlauf";"";"1";"2";"1";"";"2";"2";"2";"2";"sehr hilfreich";"";"männlich";"zwischen 21 und 30";
"31375004";"9f14a5d";"04.01.2017 16:44";"04.01.2017 16:46";"teilgenommen und beendet";"kurz danach";"kurz danach";"";"1";"2";"2";"";"3";"2";"1";"2";"sehr hilfreich";"";"männlich";"zwischen 21 und 30";
"31381628";"2da0967";"04.01.2017 20:32";"04.01.2017 20:37";"teilgenommen und beendet";"kurz danach";"im Tagesverlauf";"";"1";"2";"2";"";"1";"1";"1";"2";"sehr hilfreich";"";"männlich";"zwischen 31 und 40";
"31383899";"c33d2bd";"04.01.2017 22:00";"04.01.2017 22:01";"teilgenommen, aber noch nicht beendet";"am Ende des Unterrichtstages";"am Ende des Unterrichtstages";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31434509";"bfa90b8";"06.01.2017 18:52";"06.01.2017 18:55";"teilgenommen und beendet";"innerhalb der Woche";"ist mir egal";"";"2";"2";"1";"";"2";"1";"1";"";"hilfreich";"";"männlich";"zwischen 31 und 40";
"31486299";"9ef3031";"09.01.2017 10:48";"09.01.2017 10:52";"teilgenommen und beendet";"am Ende des Unterrichtstages";"am Ende des Tages";"";"1";"1";"1";"";"1";"1";"1";"1";"sehr hilfreich";"Welche Bedeutung die Reflexion der Ergebnisse einnimmt, Welche Methode sollte zur Sicherung der Ergebnisse verwendet werden?";"";"zwischen 41 und 50";
"31486675";"7fafc00";"09.01.2017 11:05";"09.01.2017 11:07";"teilgenommen und beendet";"am Ende des Unterrichtstages";"am nächsten Tag";"";"2";"3";"2";"";"1";"2";"1";"2";"sehr hilfreich";"";"männlich";"zwischen 41 und 50";
"31487587";"205320e";"09.01.2017 11:41";"09.01.2017 11:42";"teilgenommen und beendet";"kurz danach";"kurz danach";"";"1";"1";"1";"";"2";"2";"2";"1";"hilfreich";"";"männlich";"zwischen 31 und 40";
"31487975";"a660d0c";"09.01.2017 11:55";"09.01.2017 12:00";"teilgenommen und beendet";"am Ende des Unterrichtstages";"am Ende des Unterrichtstages";"";"3";"3";"3";"";"3";"2";"2";"2";"wenig hilfreich";"";"männlich";"zwischen 21 und 30";
"31488933";"f008cf3";"09.01.2017 12:31";"09.01.2017 12:33";"teilgenommen und beendet";"am Ende des Unterrichtstages";"im Tagesverlauf";"";"1";"1";"4";"";"2";"2";"5";"1";"hilfreich";"";"männlich";"zwischen 31 und 40";
"31489969";"2cb6738";"09.01.2017 13:06";"09.01.2017 13:09";"teilgenommen und beendet";"innerhalb der Woche";"innerhalb der Woche";"";"2";"2";"2";"";"2";"2";"2";"2";"sehr hilfreich";"";"männlich";"zwischen 41 und 50";
"31498980";"c109479";"09.01.2017 17:03";"09.01.2017 17:04";"teilgenommen und beendet";"kurz danach";"kurz danach";"";"1";"2";"2";"";"2";"2";"2";"2";"hilfreich";"";"männlich";"zwischen 51 und 60";
"31499855";"882eeba";"09.01.2017 17:25";"09.01.2017 17:26";"teilgenommen, aber noch nicht beendet";"im Tagesverlauf";"im Tagesverlauf";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31502122";"d6ca942";"09.01.2017 18:22";"09.01.2017 18:23";"teilgenommen, aber noch nicht beendet";"bereits innerhalb";"kurz danach";"";"";"";"";"";"";"";"";"";"";"";"";"";
"31511680";"932706c";"09.01.2017 22:37";"09.01.2017 22:40";"teilgenommen und beendet";"innerhalb der Woche";"innerhalb der Woche";"";"2";"1";"2";"";"1";"2";"3";"2";"hilfreich";"";"männlich";"zwischen 31 und 40";
"31519714";"d68f7be";"10.01.2017 03:26";"10.01.2017 03:29";"teilgenommen und beendet";"kurz danach";"Wann immer ich sie brauche";"";"2";"2";"3";"";"1";"2";"1";"4";"hilfreich";"";"männlich";"zwischen 41 und 50";
"31521686";"6ab7723";"10.01.2017 07:53";"10.01.2017 07:56";"teilgenommen und beendet";"im Tagesverlauf";"im Tagesverlauf";"";"1";"2";"2";"";"4";"2";"2";"2";"hilfreich";"";"weiblich";"zwischen 31 und 40";
"31532258";"38dae1b";"10.01.2017 14:26";"10.01.2017 14:40";"teilgenommen und beendet";"bereits innerhalb";"bereits innerhalb";"";"1";"1";"2";"";"1";"1";"2";"1";"wenig hilfreich";"Sicherung eigener Lernergebnisse bedarf der Validierung der Ergebnisse.";"männlich";"zwischen 51 und 60";
"31545700";"cba987f";"10.01.2017 19:30";"10.01.2017 19:33";"teilgenommen und beendet";"kurz danach";"kurz danach";"";"1";"1";"2";"";"1";"2";"1";"1";"sehr hilfreich";"";"männlich";"zwischen 21 und 30";
"31638479";"bcfa8bd";"13.01.2017 09:27";"13.01.2017 09:28";"teilgenommen, aber noch nicht beendet";"bereits innerhalb";"kurz danach";"";"2";"2";"2";"";"1";"1";"2";"1";"";"";"";"";
"32094010";"62f0860";"30.01.2017 17:39";"30.01.2017 17:42";"teilgenommen und beendet";"ist mir egal";"ist mir egal";"";"1";"2";"3";"";"1";"2";"2";"2";"hilfreich";"";"männlich";"zwischen 21 und 30";
"32233263";"8057b06";"04.02.2017 23:18";"04.02.2017 23:19";"teilgenommen und beendet";"am Ende des Tages";"am Ende des Tages";"";"2";"2";"1";"";"2";"2";"2";"2";"sehr hilfreich";"";"männlich";"zwischen 31 und 40";
"33028365";"1ead489";"07.03.2017 13:48";"07.03.2017 13:50";"teilgenommen und beendet";"bereits innerhalb";"am nächsten Tag";"";"2";"2";"4";"";"1";"2";"2";"1";"sehr hilfreich";"";"männlich";"zwischen 21 und 30";
"33070623";"5c48cbd";"08.03.2017 12:03";"08.03.2017 12:05";"teilgenommen und beendet";"kurz danach";"bereits innerhalb";"";"1";"3";"2";"";"1";"1";"2";"3";"hilfreich";"";"männlich";"zwischen 21 und 30";
