evaluation_number,source_file,timestamp_raw,filled_feedbacks,questions_count,item_index,question_text,response_label,response_score,count
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,trifft voll und ganz zu (1),1,2
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,trifft überwiegend zu (2),2,21
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,trifft gerade noch zu (3),3,3
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,trifft eher nicht zu (4),4,6
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,trifft überwiegend nicht zu (5),5,1
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,trifft überhaupt nicht zu (6),6,0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,trifft voll und ganz zu (1),1,14
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,trifft überwiegend zu (2),2,10
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,trifft gerade noch zu (3),3,8
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,trifft eher nicht zu (4),4,1
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,trifft überwiegend nicht zu (5),5,0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,trifft überhaupt nicht zu (6),6,0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,trifft voll und ganz zu (1),1,14
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,trifft überwiegend zu (2),2,13
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,trifft gerade noch zu (3),3,5
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,trifft eher nicht zu (4),4,1
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,trifft überwiegend nicht zu (5),5,0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,trifft überhaupt nicht zu (6),6,0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,trifft voll und ganz zu (1),1,11
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,trifft überwiegend zu (2),2,15
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,trifft gerade noch zu (3),3,4
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,trifft eher nicht zu (4),4,1
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,trifft überwiegend nicht zu (5),5,2
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,trifft überhaupt nicht zu (6),6,0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,5,Zeit in die Bearbeitung zu investieren ist sinnvoll.,trifft voll und ganz zu (1),1,10
