evaluation_number,source_file,timestamp_raw,filled_feedbacks,questions_count,item_index,question_text,n,mean_exported
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,1,Diese Berufliche Handlungssituation gefällt mir generell gut.,33,2.484848485
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,2,Die Lernatmosphäre ist angenehm.,33,1.878787879
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,3,Das Lernen macht mir Spaß.,33,1.787878788
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,4,Ich finde die Bearbeitung für meinen Beruf nützlich.,33,2.03030303
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,5,Zeit in die Bearbeitung zu investieren ist sinnvoll.,33,1.909090909
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,6,Ich kann die Bearbeitungsinhalte in meinem Beruf anwenden.,33,2.393939394
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,7,Ich ziehe persönlichen Nutzen aus der Bearbeitung.,33,2.181818182
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,8,Die Inhalte sind verständlich.,33,2.393939394
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,9,Die Sprache (Fremd- und Fachwörter) ist verständlich.,33,1.818181818
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,10,ch komme thematisch mit.,33,1.575757576
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,11,Die Zeit ist ausreichend für die bearbeiteten Themen.,33,1.666666667
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,12,"Ich habe den Eindruck, mein Wissen erweitert sich langfristig.",33,2.424242424
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,13,Ich kann mir die neuen Themen gut merken.,33,2.212121212
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,14,"Ich denke, ich werde auch einige Zeit nach der Bearbeitung noch berichten können, was ich gelernt habe.",33,2.575757576
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,15,Ich werde das Gelernte im beruflichen Alltag anwenden.,32,2.272727273
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,16,"Ich finde es gut, dass die beruflichen Handlungssituationen vermittelt bzw. besprochen werden.",33,1.848484848
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,17,Ich würde die Bearbeitung der Inhalte meinen Kollegen empfehlen.,33,2.181818182
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,18,Es werden zuerst Probleme thematisiert und durch ihre Bearbeitung lerne ich somit die Themen.,33,2.818181818
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,19,Ich kann echte Probleme bearbeiten und darin die zuvor gelernten Inhalte vertiefen.,32,2.575757576
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,20,Es werden wahre Vorfälle aus meinem Arbeitsalltag vorgestellt und durch das selbständige Entwickeln von Lösungen kann ich die Themen vertiefen.,31,2.96969697
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,21,"Es werden Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, was das mit dem jeweiligen Thema zu tun hat.",32,3.090909091
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,22,"Es werden problematische Situationen aus dem Arbeitsalltag vorgestellt und ich muss herausfinden, mit welchen Fähigkeiten/welchem Wissen die Situation hätte verbessert werden können.",31,3.0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,23,"In der beruflichen Handlungssituation werden Situationen vorgestellt, die ich dann auf die jeweilige Aufgabe hin genauer betrachte.",32,2.666666667
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,24,Ich kann mein eigenes Wissen in die Bearbeitung mit einbringen.,33,1.878787879
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,25,Auf meine bisherigen Erfahrungen zu den behandelten Themen wird eingegangen.,32,1.909090909
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,26,Ich kann mein berufliches Wissen in die Bearbeitung mit einbringen.,33,2.121212121
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,27,Ich kann meine bisherigen beruflichen Erlebnisse einbringen.,33,2.363636364
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,28,"Die Lernbegleiter*innen fordern mich auf, mein Wissen und meine Erlebnisse bei der Bearbeitung aus dem Berufsalltag einzubringen",33,3.121212121
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,29,Inhalte werden mit konkreten Beispielen erläutert.,33,2.787878788
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,30,Die Lernziele sind mir bekannt.,33,2.424242424
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,31,Die Lernziele werden erreicht.,32,2.121212121
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,32,"Die Lernbegleiter*innen machen deutlich, welches die zentralen Punkte der besprochenen Themen sind.",33,2.545454545
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,33,"Am Anfang der beruflichen Handlungssituation werden die Ziele bekannt gegeben, die mit der Bearbeitung erreicht werden sollten.",32,3.0
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,34,Die eingesetzten Medien sind für mein Verständnis hilfreich.,32,1.939393939
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,35,Die eingesetzten Medien sind zur Präsentation der Inhalte geeignet.,32,1.787878788
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,36,Ich kann das Gelernte bei der Bearbeitung üben.,33,2.606060606
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,37,Ich bekomme bei der Bearbeitung Feedback zu meinem Verhalten / meiner Leistung.,33,3.333333333
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,38,Ich kann das Feedback umsetzen und bei der Bearbeitung an meinem Verhalten / meiner Leistung arbeiten.,32,2.939393939
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,39,"Bei der Bearbeitung habe ich die Möglichkeit, Dinge, die ich später in der Arbeit umsetzen soll, schon einmal auszuprobieren.",32,3.151515152
1,feedback_eigene Evaluation-01.csv,"Sonntag, 9. November 2025, 22:34",33,46,40,"Das Feedback aus der Bearbeitung hilft mir, weiter am Gelernten zu arbeiten.",32,2.757575758
