x_term,y_term,correlation,p_value,significance
lernsystemarchitektur,#0:zeitschriftenartikel:digital:learning,-0.023882741068606397,0.14458882808854065,Nicht signifikant
lernsystemarchitektur,#0:buch:digital:learning,-0.015654937732951908,0.3389570294558873,Nicht signifikant
lernsystemarchitektur,#0:buchteil:digital:learning,-0.029928896910041018,0.067489343171488,Nicht signifikant
lernsystemarchitektur,#0:konferenz-paper:digital:learning,-0.009645561977308334,0.5557649496846562,Nicht signifikant
lernsystemarchitektur,#1:zeitschriftenartikel:learning:management:system,0.34439700153245084,1.9491834552558437e-104,Signifikant
lernsystemarchitektur,#1:buch:learning:management:system,-0.004818901555671898,0.7685059737078083,Nicht signifikant
lernsystemarchitektur,#1:buchteil:learning:management:system,0.04354984525249558,0.0077864516649829765,Signifikant
lernsystemarchitektur,#1:konferenz-paper:learning:management:system,0.07191031555293231,1.0934391241344314e-05,Signifikant
lernsystemarchitektur,#2:zeitschriftenartikel:online:lernplattform,0.065808510123425,5.726595934943181e-05,Signifikant
lernsystemarchitektur,#3:zeitschriftenartikel:online:lernumgebung,-0.009645561977308328,0.5557649496846562,Nicht signifikant
lernsystemarchitektur,#3:buch:online:lernumgebung,-0.0048189015556718996,0.7685059737078083,Nicht signifikant
lernsystemarchitektur,#3:buchteil:online:lernumgebung,0.07527048081745266,4.146739468813473e-06,Signifikant
lernsystemarchitektur,#3:konferenz-paper:online:lernumgebung,-0.0048189015556718996,0.7685059737078083,Nicht signifikant
lernsystemarchitektur,#4:zeitschriftenartikel:mooc,-0.008619131025905058,0.5985773152971358,Nicht signifikant
lernsystemarchitektur,#4:buch:mooc,-0.006816783246687212,0.6771472568138253,Nicht signifikant
lernsystemarchitektur,#4:buchteil:mooc,0.03820670517682643,0.01957297953648416,Signifikant
lernsystemarchitektur,#4:konferenz-paper:mooc,0.011345121463015886,0.48833617294409176,Nicht signifikant
lernsystemarchitektur,#5:zeitschriftenartikel:e-learning,0.08436154587926674,2.445569701706964e-07,Signifikant
lernsystemarchitektur,#5:buch:e-learning,-0.016742599367610612,0.30646241666038354,Nicht signifikant
lernsystemarchitektur,#5:buchteil:e-learning,-0.028042879287106505,0.0866877417578897,Nicht signifikant
lernsystemarchitektur,#5:konferenz-paper:e-learning,-0.007622417478053267,0.6415251811085402,Nicht signifikant
lernsystemarchitektur,#6:zeitschriftenartikel:bildung:technologie,0.04570389599761663,0.005222915984858608,Signifikant
lernsystemarchitektur,#6:buch:bildung:technologie,-0.01638787505650652,0.31682541157153016,Nicht signifikant
lernsystemarchitektur,#6:buchteil:bildung:technologie,-0.020624937266080456,0.2077197994393536,Nicht signifikant
lernsystemarchitektur,#6:konferenz-paper:bildung:technologie,-0.011819700415851573,0.47032722017168027,Nicht signifikant
lernsystemarchitektur,#7:zeitschriftenartikel:digital:medien,0.009519891150691262,0.5609255048266971,Nicht signifikant
lernsystemarchitektur,#7:buch:digital:medien,-0.043465883342592715,0.00790603419372845,Signifikant
lernsystemarchitektur,#7:buchteil:digital:medien,-0.13773086634659873,2.84856988872086e-17,Signifikant
lernsystemarchitektur,#7:konferenz-paper:digital:medien,-0.00964556197730833,0.5557649496846562,Nicht signifikant
lernsystemarchitektur,#8:zeitschriftenartikel:blended:learning,0.016690597471768067,0.3079674047086554,Nicht signifikant
lernsystemarchitektur,#8:buch:blended:learning,-0.01078696234884908,0.509983550572735,Nicht signifikant
lernsystemarchitektur,#8:buchteil:blended:learning,-0.0118357887214182,0.4697232066585176,Nicht signifikant
lernsystemarchitektur,#8:konferenz-paper:blended:learning,0.05321000008085457,0.0011449334799028654,Signifikant
lernsystemarchitektur,#9:zeitschriftenartikel:digital:lernen,-0.005119639621442707,0.7545097552560588,Nicht signifikant
lernsystemarchitektur,#9:buch:digital:lernen,-0.022990926956618005,0.16019342959541852,Nicht signifikant
lernsystemarchitektur,#9:buchteil:digital:lernen,-0.02704888288211739,0.09845525680084588,Nicht signifikant
lernsystemarchitektur,#9:konferenz-paper:digital:lernen,0.05321000008085457,0.0011449334799028654,Signifikant
lernsystemarchitektur,#a:zeitschriftenartikel:online:lernen,0.04843005554090457,0.0030789985972537494,Signifikant
lernsystemarchitektur,#a:buch:online:lernen,-0.006816783246687212,0.6771472568138253,Nicht signifikant
lernsystemarchitektur,#a:buchteil:online:lernen,0.027454275350551758,0.09351053667353282,Nicht signifikant
lernsystemarchitektur,#a:konferenz-paper:online:lernen,-0.0034070214156004582,0.835155538420795,Nicht signifikant
lernsystemarchitektur,#b:zeitschriftenartikel:online:learning,-0.026744892583166015,0.10229834215360913,Nicht signifikant
lernsystemarchitektur,#b:buch:online:learning,-0.003407021415600458,0.835155538420795,Nicht signifikant
lernsystemarchitektur,#b:buchteil:online:learning,-0.027923007550558793,0.08804364685817838,Nicht signifikant
lernsystemarchitektur,#b:konferenz-paper:online:learning,0.01190231122520968,0.4672302650245845,Nicht signifikant
bildungstheorien,#0:zeitschriftenartikel:digital:learning,0.0062908454727618685,0.7008043343363044,Nicht signifikant
bildungstheorien,#0:buch:digital:learning,-0.0212940701879097,0.19334649001596854,Nicht signifikant
bildungstheorien,#0:buchteil:digital:learning,-0.04530766330092072,0.005627783034243979,Signifikant
bildungstheorien,#0:konferenz-paper:digital:learning,-0.01312003134412388,0.4229131975828868,Nicht signifikant
bildungstheorien,#1:zeitschriftenartikel:learning:management:system,0.12784263240248897,4.486132042368814e-15,Signifikant
bildungstheorien,#1:buch:learning:management:system,-0.006554738811839122,0.6888962018192345,Nicht signifikant
bildungstheorien,#1:buchteil:learning:management:system,0.0003164466922653212,0.9845795474983008,Nicht signifikant
bildungstheorien,#1:konferenz-paper:learning:management:system,0.00692259370079751,0.6724251393036288,Nicht signifikant
bildungstheorien,#2:zeitschriftenartikel:online:lernplattform,-0.010368121262952473,0.5265512953272278,Nicht signifikant
bildungstheorien,#3:zeitschriftenartikel:online:lernumgebung,0.03108310674939096,0.05757141929865016,Nicht signifikant
bildungstheorien,#3:buch:online:lernumgebung,-0.006554738811839125,0.6888962018192345,Nicht signifikant
bildungstheorien,#3:buchteil:online:lernumgebung,0.11568599502962772,1.3443916879678965e-12,Signifikant
bildungstheorien,#3:konferenz-paper:online:lernumgebung,0.08178042358742241,5.634187672568229e-07,Signifikant
bildungstheorien,#4:zeitschriftenartikel:mooc,0.01024329965215099,0.5315413735072383,Nicht signifikant
bildungstheorien,#4:buch:mooc,-0.00927228605995569,0.5711605071617863,Nicht signifikant
bildungstheorien,#4:buchteil:mooc,0.006036431449177081,0.7123547560760868,Nicht signifikant
bildungstheorien,#4:konferenz-paper:mooc,-0.025482192311568303,0.11955372568875872,Nicht signifikant
